,Country,CumulativeProbability,InDegreeDivMax,RandomProbability,InfectedShare,first_occurrence,isInfected
0,Bahrain,0.0041928721174004195,0.06349206349206349,0.8472867040348482,0.2857142857142857,2020-02-24,False
1,Namibia,0.0002620545073375262,0.003968253968253968,0.8208138520325947,0.8867924528301887,2020-03-14,False
2,Iceland,0.0047169811320754715,0.07142857142857142,0.7053486382931872,0.69,2020-02-28,False
3,Djibouti,0.0005241090146750524,0.007936507936507936,0.09435493120673388,0.21052631578947367,2020-03-18,False
4,Saudi Arabia,0.020964360587002098,0.31746031746031744,0.6781469568247138,0.4,2020-03-02,False
5,Guinea,0.0002620545073375262,0.003968253968253968,0.8351879081924457,0.08333333333333333,2020-03-13,False
6,Afghanistan,0.0015723270440251573,0.023809523809523808,0.04584044993171199,0.25806451612903225,2020-02-24,False
7,Jordan,0.004454926624737945,0.06746031746031746,0.10069936308015948,0.6666666666666666,2020-03-03,False
8,Kuwait,0.0047169811320754715,0.07142857142857142,0.792469516257616,0.16666666666666666,2020-02-24,False
9,Lebanon,0.0031446540880503146,0.047619047619047616,0.1970833437445746,0.375,2020-02-21,False
10,Oman,0.006813417190775681,0.10317460317460317,0.903327950866326,0.6333333333333333,2020-02-24,False
11,Guyana,0.0002620545073375262,0.003968253968253968,0.4921302423405848,0.3496932515337423,2020-03-12,False
12,Palau,0.0007861635220125787,0.011904761904761904,0.19852703536826943,0.20540540540540542,2021-08-22,False
13,Benin,0.0005241090146750524,0.007936507936507936,0.5888676248840632,0.12903225806451613,2020-03-16,False
14,Burkina Faso,0.0005241090146750524,0.007936507936507936,0.4667195192141155,0.125,2020-03-10,False
15,Ghana,0.0010482180293501049,0.015873015873015872,0.05829860185449198,0.38847583643122674,2020-03-14,False
16,Cote d'Ivoire,0.0007861635220125787,0.011904761904761904,0.21617848227339442,0.3148148148148148,2020-03-11,False
17,Nigeria,0.002620545073375262,0.03968253968253968,0.37780051246671575,0.3333333333333333,2020-02-28,False
18,Niger,0.0002620545073375262,0.003968253968253968,0.8297253018727428,0.2727272727272727,2020-03-20,False
19,Togo,0.0002620545073375262,0.003968253968253968,0.7433505141605264,0.4482758620689655,2020-03-06,False
20,Estonia,0.0041928721174004195,0.06349206349206349,0.9949976556048046,0.3184713375796178,2020-02-27,False
21,Guernsey,0.003406708595387841,0.051587301587301584,0.9342682591273253,0.2,2020-03-22,False
22,Jersey,0.006027253668763103,0.09126984126984126,0.3694794214537669,0.2965779467680608,2020-03-22,False
23,Isle of Man,0.0023584905660377358,0.03571428571428571,0.9318747598290698,0.4566929133858268,2020-03-20,False
24,Brazil,0.005765199161425576,0.0873015873015873,0.06581068479354202,0.75,2020-02-26,False
25,Netherlands,0.04140461215932914,0.626984126984127,0.8055486355219754,0.5868852459016394,2020-02-27,False
26,Chile,0.0010482180293501049,0.015873015873015872,0.17982226870248852,0.4585635359116022,2020-02-23,False
27,Denmark,0.022274633123689727,0.33730158730158727,0.4701316421620704,0.10526315789473684,2020-02-27,False
28,Luxembourg,0.00759958071278826,0.11507936507936507,0.3196953844857594,0.14285714285714285,2020-02-29,False
29,Ecuador,0.0005241090146750524,0.007936507936507936,0.05538851428915448,0.14814814814814814,2020-03-01,False
30,Norway,0.030398322851153042,0.4603174603174603,0.23044882342158413,0.15,2020-02-26,False
31,Colombia,0.0018343815513626835,0.027777777777777776,0.15491431205726847,0.16393442622950818,2020-03-06,False
32,Bolivia,0.0002620545073375262,0.003968253968253968,0.4778263353111939,0.37593984962406013,2020-03-11,False
33,Peru,0.0007861635220125787,0.011904761904761904,0.4680490030121862,0.1111111111111111,2020-03-06,False
34,Uruguay,0.0002620545073375262,0.003968253968253968,0.1330507667216574,0.6,2020-03-13,False
35,Venezuela,0.001310272536687631,0.01984126984126984,0.2680499537416833,0.07142857142857142,2020-03-14,False
36,Qatar,0.01310272536687631,0.1984126984126984,0.10695597577786731,0.5517241379310345,2020-02-29,False
37,South Africa,0.003930817610062893,0.05952380952380952,0.5704948135064833,0.09691629955947137,2020-03-05,False
38,Antigua and Barbuda,0.0007861635220125787,0.011904761904761904,0.8047225989148057,0.7647058823529411,2020-03-13,False
39,Barbados,0.0007861635220125787,0.011904761904761904,0.7365829657755452,0.7931034482758621,2020-03-17,False
40,Grenada,0.0002620545073375262,0.003968253968253968,0.3178880800054338,0.9,2020-03-22,False
41,Saint Lucia,0.0007861635220125787,0.011904761904761904,0.4758759688648977,0.5047923322683706,2020-03-14,False
42,Trinidad and Tobago,0.0007861635220125787,0.011904761904761904,0.5279315553557932,0.5,2020-03-14,False
