,Country,CumulativeProbability,InDegreeDivMax,RandomProbability,first_occurrence,isInfected
0,Vietnam,0.13872832369942195,1.3846153846153846,0.804175814425736,2020-01-23,False
1,Singapore,0.1348747591522158,1.3461538461538463,0.7671593616096732,2020-01-23,False
2,Canada,0.05394990366088632,0.5384615384615384,0.5583508249470744,2020-01-23,False
3,France,0.06520533673880897,0.6961538461538461,0.41081871516535684,2020-01-24,False
4,Nepal,0.038019152716498146,0.39779560966611327,0.8520599118494007,2020-01-25,False
5,Malaysia,0.2517975145216179,2.6471776425013838,0.7029480826514722,2020-01-25,False
6,Australia,0.19915468656450994,2.103813213165731,0.9399690255410288,2020-01-26,False
7,Sri Lanka,0.05047072352047169,0.5335612828418583,0.41901354574966765,2020-01-27,False
8,Cambodia,0.12873948444291916,1.3681121037236146,0.4175641149309781,2020-01-27,False
9,Germany,0.29755140512365635,3.1901046196010223,0.348766177499896,2020-01-27,False
10,Finland,0.0831774079668156,0.8639777866100917,0.2946590047362232,2020-01-29,False
11,United Arab Emirates,0.18683665035250693,1.9486452265253882,0.6835716366620469,2020-01-29,False
12,India,0.24206111208991107,2.4988967592826925,0.4165202309668984,2020-01-30,False
13,Philippines,0.2162987453323929,2.253892329386257,0.052794877308542376,2020-01-30,False
14,United Kingdom,0.5941959638468108,6.037227279794089,0.4386634891416019,2020-01-31,False
15,Italy,0.5356470630108965,5.34233563115329,0.7796135537386071,2020-01-31,False
16,Russia,0.5588424470086394,5.721427682851313,0.7273740057029362,2020-01-31,False
17,Sweden,0.09355558584279938,0.8671729996016831,0.6039293902529289,2020-02-01,False
18,Spain,0.6852318742889499,6.165247582154057,0.9778511625872184,2020-02-01,False
19,Belgium,0.16425541161646584,1.789418064614044,0.3315099293574596,2020-02-04,False
20,Egypt,0.11598079712521848,1.3544924330624108,0.7351710737402051,2020-02-14,False
21,Iran,0.11417852851352785,1.3276945188002363,0.41149131664202143,2020-02-19,False
22,Lebanon,0.027670825759106232,0.35464193556421575,0.10265141908777897,2020-02-21,False
23,Israel,0.10917611006360593,1.3314268526753494,0.21964468381050006,2020-02-21,False
24,Chile,0.016311660123344444,0.19711495780332436,0.5837582725781802,2020-02-23,False
25,Bahrain,0.05497166045350216,0.704119434932901,0.503578574251657,2020-02-24,False
26,Afghanistan,0.019389967413827956,0.2643711455492475,0.36610610315972814,2020-02-24,False
27,Kuwait,0.06703662739640845,0.8841167008023254,0.5967782595214057,2020-02-24,False
28,Oman,0.08505302570890251,1.0943645905281314,0.5786319285209298,2020-02-24,False
29,Iraq,0.06259860535681241,0.8369406253413338,0.37991197344696315,2020-02-24,False
30,Croatia,0.2870243582495663,3.772166548731197,0.7483516107561137,2020-02-25,False
31,Algeria,0.2669864463129951,3.3009943559926667,0.7077942925811864,2020-02-25,False
32,Austria,0.2809221932778476,3.6862747481412006,0.04650047667257806,2020-02-25,False
33,Switzerland,0.43738672390081534,5.7512834573109215,0.8787777271508711,2020-02-25,False
34,Pakistan,0.2199939311850749,2.7625571967363007,0.19322946067569957,2020-02-25,False
35,Brazil,0.08007659342659643,1.0543581879389272,0.7016860232661405,2020-02-26,False
36,Norway,0.3522981749879517,4.830841945112108,0.4234840795285233,2020-02-26,False
37,Romania,0.21419208285742997,2.929580911103895,0.5924655081551746,2020-02-26,False
38,Greece,0.8445091822572101,11.16269934447412,0.4781835074702704,2020-02-26,False
39,Georgia,0.03900635322166184,0.5000623993897092,0.8146826495396872,2020-02-26,False
40,Estonia,0.05318970730066869,0.7200036561558989,0.9111451287174599,2020-02-27,False
41,Netherlands,0.6543250698591265,8.498788168447879,0.2639340333989241,2020-02-27,False
42,Denmark,0.33214842458504196,4.363063316069922,0.513035516397827,2020-02-27,False
43,Iceland,0.08012185943653682,1.0191594964630148,0.3138583235274871,2020-02-28,False
44,Nigeria,0.05168053523162135,0.6676790501712345,0.8612334089504161,2020-02-28,False
