,Country,CumulativeProbability,InDegreeDivMax,RandomProbability,InfectedShare,first_occurrence,isInfected
0,Isle of Man,0.012121212121212121,0.1282051282051282,0.8507399427922037,0.9811320754716981,2020-03-20,False
1,Greenland,0.0036363636363636364,0.038461538461538464,0.39180313250203236,0.78,2020-03-16,False
2,Mali,0.01696969696969697,0.1794871794871795,0.4293595848315679,0.23684210526315788,2020-03-25,False
3,Djibouti,0.007272727272727273,0.07692307692307693,0.5994294430946185,0.2,2020-03-18,False
4,Gambia,0.0048484848484848485,0.05128205128205128,0.9648905405247452,1.0,2020-03-17,False
5,Guinea-Bissau,0.0036363636363636364,0.038461538461538464,0.15379549070523724,0.3333333333333333,2020-03-25,False
6,Sierra Leone,0.008484848484848486,0.08974358974358974,0.8362934999865185,0.875,2020-03-31,False
7,Liberia,0.0048484848484848485,0.05128205128205128,0.7785774834820312,0.5,2020-03-17,False
8,Laos,0.02181818181818182,0.23076923076923075,0.7120048597069687,0.6666666666666666,2020-03-24,False
9,Falkland Islands,0.0012121212121212121,0.01282051282051282,0.3370811605922528,0.75,2020-04-04,False
10,Mauritania,0.009696969696969697,0.10256410256410256,0.406901062664786,0.6363636363636364,2020-03-14,True
11,Burundi,0.0024242424242424242,0.02564102564102564,0.7919027556446663,0.6666666666666666,2020-03-31,False
12,Somalia,0.01090909090909091,0.11538461538461538,0.16723111114489775,0.5806451612903226,2020-03-16,False
13,Namibia,0.006060606060606061,0.0641025641025641,0.7050124337460449,0.391304347826087,2020-03-14,True
14,Libya,0.03636363636363636,0.38461538461538464,0.9620880567935518,0.7142857142857143,2020-03-24,False
15,Rwanda,0.01090909090909091,0.11538461538461539,0.28942221114718913,1.0,2020-03-14,True
16,South Sudan,0.0048484848484848485,0.05128205128205128,0.0981951472912872,0.6923076923076923,2020-04-05,False
17,Sudan,0.021818181818181816,0.23076923076923078,0.01718832961092709,0.5333333333333333,2020-03-14,True
18,Tanzania,0.02181818181818182,0.23076923076923078,0.12221503465334904,0.5,2020-03-16,False
19,Uganda,0.008484848484848486,0.08974358974358974,0.001537353240403494,0.5294117647058824,2020-03-21,False
20,Montenegro,0.02181818181818182,0.23076923076923078,0.1253657360531374,0.5,2020-03-17,False
21,Palau,0.0036363636363636364,0.038461538461538464,0.3062641895471032,0.5945945945945946,2021-08-22,False
22,Suriname,0.0036363636363636364,0.038461538461538464,0.6136717198723504,0.45,2020-03-14,True
23,Guatemala,0.01090909090909091,0.11538461538461539,0.22182662482755122,0.4666666666666667,2020-03-14,True
24,Benin,0.013333333333333334,0.14102564102564102,0.800226594375619,1.0,2020-03-16,False
25,Ghana,0.02181818181818182,0.23076923076923078,0.6750331040792403,0.75,2020-03-14,True
26,Niger,0.008484848484848486,0.08974358974358974,0.5517078043408722,0.75,2020-03-20,False
27,Burma,0.026666666666666665,0.28205128205128205,0.49076916921119584,0.75,2020-03-27,False
28,North Korea,0.0048484848484848485,0.05128205128205128,0.07107620848573293,0.5789473684210527,2022-05-14,False
29,Venezuela,0.030303030303030304,0.3205128205128205,0.5552374580000858,0.6666666666666666,2020-03-14,True
30,Barbados,0.008484848484848486,0.08974358974358974,0.7269024284165677,0.3472222222222222,2020-03-17,False
31,Papua New Guinea,0.01090909090909091,0.11538461538461538,0.6548118008775179,0.13793103448275862,2020-03-20,False
32,Dominica,0.0012121212121212121,0.01282051282051282,0.052497809823603525,0.7777777777777778,2020-03-22,False
33,Grenada,0.0012121212121212121,0.01282051282051282,0.6444020552125655,1.0,2020-03-22,False
34,Nicaragua,0.0024242424242424242,0.02564102564102564,0.345327394189443,0.5,2020-03-19,False
35,Saint Lucia,0.006060606060606061,0.0641025641025641,0.5945059018179595,0.3333333333333333,2020-03-14,True
36,Trinidad and Tobago,0.008484848484848484,0.08974358974358973,0.11979273712838923,0.16666666666666666,2020-03-14,True
37,Kyrgyzstan,0.037575757575757575,0.39743589743589747,0.7957712243759663,0.6166666666666667,2020-03-18,False
38,El Salvador,0.019393939393939394,0.20512820512820512,0.9640001434599016,0.5,2020-03-19,False
39,Haiti,0.0048484848484848485,0.05128205128205128,0.9839179525855893,0.5,2020-03-20,False
40,Botswana,0.008484848484848484,0.08974358974358974,0.5582585386411896,0.5,2020-03-30,False
41,Lithuania,0.08242424242424243,0.8717948717948718,0.8026936567237523,0.4117647058823529,2020-03-19,False
