,Country,CumulativeProbability,InDegreeDivMax,RandomProbability,InfectedShare,first_occurrence,isInfected
0,Isle of Man,0.019762845849802372,0.14705882352941177,0.6983743889812867,1.0,2020-03-20,False
1,Mali,0.03162055335968379,0.23529411764705882,0.4686289989892871,0.23684210526315788,2020-03-25,False
2,Guinea-Bissau,0.007905138339920948,0.058823529411764705,0.4741125261352127,1.0,2020-03-25,False
3,Sierra Leone,0.021739130434782608,0.16176470588235295,0.9852146081196874,1.0,2020-03-31,False
4,Laos,0.03557312252964427,0.2647058823529412,0.2664198347627271,1.0,2020-03-24,False
5,Falkland Islands,0.001976284584980237,0.014705882352941176,0.27180399266270305,1.0,2020-04-04,False
6,Burundi,0.005928853754940711,0.04411764705882353,0.9812453055444219,0.5806451612903226,2020-03-31,False
7,Libya,0.05928853754940712,0.4411764705882353,0.49663776134039983,0.7142857142857143,2020-03-24,False
8,South Sudan,0.011857707509881422,0.08823529411764706,0.3504986008279831,1.0,2020-04-05,False
9,Uganda,0.021739130434782608,0.16176470588235295,0.03283981090001176,0.75,2020-03-21,False
10,Palau,0.005928853754940711,0.04411764705882353,0.09820477970125052,0.75,2021-08-22,False
11,Niger,0.015810276679841896,0.11764705882352941,0.19295659279213206,0.5945945945945946,2020-03-20,False
12,Burma,0.043478260869565216,0.3235294117647059,0.5271691613807438,0.7333333333333333,2020-03-27,False
13,North Korea,0.007905138339920948,0.058823529411764705,0.08166353999493126,0.75,2022-05-14,False
14,Papua New Guinea,0.017786561264822132,0.1323529411764706,0.33905945065124954,0.13793103448275862,2020-03-20,False
15,Dominica,0.005928853754940711,0.04411764705882353,0.2457175876661578,0.8888888888888888,2020-03-22,False
16,Grenada,0.011857707509881422,0.08823529411764706,0.9212560690750965,1.0,2020-03-22,False
17,Nicaragua,0.005928853754940711,0.04411764705882353,0.5712037784230873,1.0,2020-03-19,True
18,El Salvador,0.03359683794466403,0.25,0.5169333395477852,1.0,2020-03-19,True
19,Haiti,0.007905138339920948,0.058823529411764705,0.5768517297072996,0.6833333333333333,2020-03-20,False
20,Botswana,0.017786561264822132,0.1323529411764706,0.06466321639068495,0.75,2020-03-30,False
21,Lithuania,0.13438735177865613,1.0,0.08939919317532574,0.5,2020-03-19,True
22,Eritrea,0.007905138339920948,0.058823529411764705,0.580074671849876,0.8947368421052632,2020-03-21,False
23,Yemen,0.08102766798418973,0.6029411764705883,0.09326604629179269,0.8,2020-04-10,False
24,Comoros,0.005928853754940711,0.04411764705882353,0.4799232062152601,0.47368421052631576,2020-04-30,False
25,Madagascar,0.011857707509881422,0.08823529411764706,0.0075808687293618116,1.0,2020-03-20,False
26,Tajikistan,0.10474308300395258,0.7794117647058824,0.0009632335753307908,0.5,2020-05-01,False
27,Belize,0.009881422924901186,0.07352941176470588,0.22354280980613894,0.75,2020-03-23,False
28,Fiji,0.011857707509881424,0.08823529411764706,0.7461580681831657,0.3333333333333333,2020-03-19,True
29,Tonga,0.003952569169960474,0.029411764705882353,0.8475980015411599,0.625,2021-10-29,False
30,Samoa,0.005928853754940711,0.04411764705882353,0.3818687941540183,0.20689655172413793,2020-11-18,False
31,Angola,0.04347826086956522,0.3235294117647059,0.21472607695922963,0.5,2020-03-20,False
32,Saint Kitts and Nevis,0.003952569169960474,0.029411764705882353,0.8530548427174296,0.75,2020-03-25,False
33,Vanuatu,0.007905138339920948,0.058823529411764705,0.26296354510397724,0.5641025641025641,2020-11-10,False
34,Sao Tome and Principe,0.001976284584980237,0.014705882352941176,0.08240647801760848,0.5,2020-04-06,False
35,Mozambique,0.029644268774703556,0.22058823529411767,0.06643308237400969,0.32608695652173914,2020-03-22,False
36,Chad,0.015810276679841896,0.11764705882352941,0.09419905364970371,0.8888888888888888,2020-03-19,True
37,Solomon Islands,0.001976284584980237,0.014705882352941176,0.3091278147330866,0.5454545454545454,2020-10-12,False
38,Nauru,0.001976284584980237,0.014705882352941176,0.9729289665391905,0.058823529411764705,2022-04-04,False
39,Zimbabwe,0.023715415019762848,0.1764705882352941,0.48353730918847015,0.3333333333333333,2020-03-20,False
40,Guernsey,0.02766798418972332,0.20588235294117646,0.01814727395244342,0.8235294117647058,2020-03-22,False
41,Jersey,0.05533596837944664,0.4117647058823529,0.43801951489615554,0.9655172413793104,2020-03-22,False
42,Malawi,0.015810276679841896,0.11764705882352941,0.5969568214078994,0.7272727272727273,2020-04-02,False
43,Lesotho,0.001976284584980237,0.014705882352941176,0.9443312594514718,1.0,2020-05-13,False
