,Country,CumulativeProbability,InDegreeDivMax,RandomProbability,first_occurrence,isInfected
0,Vietnam,0.13872832369942195,1.3846153846153846,0.9551066246480623,2020-01-23,False
1,Singapore,0.1348747591522158,1.3461538461538463,0.4887894688949813,2020-01-23,False
2,Canada,0.05394990366088632,0.5384615384615384,0.2265582491252094,2020-01-23,False
3,France,0.06520533673880897,0.6961538461538461,0.2546478333478539,2020-01-24,False
4,Nepal,0.038019152716498146,0.39779560966611327,0.7229762962097943,2020-01-25,False
5,Malaysia,0.2517975145216179,2.6471776425013838,0.8666146546692308,2020-01-25,False
6,Australia,0.19915468656450994,2.103813213165731,0.13764477932816055,2020-01-26,False
7,Sri Lanka,0.05047072352047169,0.5335612828418583,0.05974916983628309,2020-01-27,False
8,Cambodia,0.12873948444291916,1.3681121037236146,0.8583990197801988,2020-01-27,False
9,Germany,0.29755140512365635,3.1901046196010223,0.32014056599440033,2020-01-27,False
10,Finland,0.0831774079668156,0.8639777866100917,0.2547661561780302,2020-01-29,False
11,United Arab Emirates,0.18683665035250693,1.9486452265253882,0.6984781587502561,2020-01-29,False
12,India,0.24206111208991107,2.4988967592826925,0.7682270204324108,2020-01-30,False
13,Philippines,0.2162987453323929,2.253892329386257,0.6261783632799897,2020-01-30,False
14,United Kingdom,0.5941959638468108,6.037227279794089,0.23981546259908804,2020-01-31,False
15,Italy,0.5356470630108965,5.34233563115329,0.9634314625995708,2020-01-31,False
16,Russia,0.5588424470086394,5.721427682851313,0.8027441492558589,2020-01-31,False
17,Sweden,0.09355558584279938,0.8671729996016831,0.30855028594507417,2020-02-01,False
18,Spain,0.6852318742889499,6.165247582154057,0.09274246893777915,2020-02-01,False
19,Belgium,0.16425541161646584,1.789418064614044,0.21084518655267193,2020-02-04,False
20,Egypt,0.11598079712521848,1.3544924330624108,0.3481456471811132,2020-02-14,False
21,Iran,0.11417852851352785,1.3276945188002363,0.708087850624934,2020-02-19,False
22,Lebanon,0.027670825759106232,0.35464193556421575,0.5038678792260045,2020-02-21,False
23,Israel,0.10917611006360593,1.3314268526753494,0.5109444399494772,2020-02-21,False
24,Chile,0.016311660123344444,0.19711495780332436,0.12340322613943155,2020-02-23,False
25,Bahrain,0.05497166045350216,0.704119434932901,0.6703058684662051,2020-02-24,False
26,Afghanistan,0.019389967413827956,0.2643711455492475,0.41168146409678663,2020-02-24,False
27,Kuwait,0.06703662739640845,0.8841167008023254,0.615546315873985,2020-02-24,False
28,Oman,0.08505302570890251,1.0943645905281314,0.7432135344896834,2020-02-24,False
29,Iraq,0.06259860535681241,0.8369406253413338,0.707741435800637,2020-02-24,False
30,Croatia,0.2870243582495663,3.772166548731197,0.6351288835535182,2020-02-25,False
31,Algeria,0.2669864463129951,3.3009943559926667,0.5788766515385166,2020-02-25,False
32,Austria,0.2809221932778476,3.6862747481412006,0.3733600885823135,2020-02-25,False
33,Switzerland,0.43738672390081534,5.7512834573109215,0.4442192048756314,2020-02-25,False
34,Pakistan,0.2199939311850749,2.7625571967363007,0.7041031454167884,2020-02-25,False
35,Brazil,0.08007659342659643,1.0543581879389272,0.7497572735501983,2020-02-26,False
36,Norway,0.3522981749879517,4.830841945112108,0.39072883885984955,2020-02-26,False
37,Romania,0.21419208285742997,2.929580911103895,0.7587803777192133,2020-02-26,False
38,Greece,0.8445091822572101,11.16269934447412,0.6854527937557627,2020-02-26,False
39,Georgia,0.03900635322166184,0.5000623993897092,0.6498701721657665,2020-02-26,False
40,Estonia,0.05318970730066869,0.7200036561558989,0.4226060230371642,2020-02-27,False
41,Netherlands,0.6543250698591265,8.498788168447879,0.898522974065109,2020-02-27,False
42,Denmark,0.33214842458504196,4.363063316069922,0.01169831714105285,2020-02-27,False
43,Iceland,0.08012185943653682,1.0191594964630148,0.3261774326167024,2020-02-28,False
44,Nigeria,0.05168053523162135,0.6676790501712345,0.6462297302750816,2020-02-28,False
45,Belarus,0.0835747801844669,1.0896211532161135,0.3796132345743005,2020-02-28,False
46,Mexico,0.205439559150075,2.4852093151317787,0.8366833391230548,2020-02-28,False
47,New Zealand,0.1770589153035655,2.1058097955918593,0.6849984853452329,2020-02-28,False
48,Luxembourg,0.13321845366722324,1.687090995265619,0.7442125963141524,2020-02-29,False
49,Qatar,0.3422733963599571,4.131158260686469,0.1778309568230243,2020-02-29,False
50,Ireland,0.6182126182828969,7.968395027191434,0.7328560004505242,2020-02-29,False
51,Ecuador,0.014283562920291707,0.17487997954360934,0.6133839961447966,2020-03-01,False
52,Dominican Republic,0.1568178544868256,1.8891090756809115,0.4809098006184377,2020-03-01,False
53,Czech Republic,0.31433709094766726,3.8981248953850236,0.117415431079264,2020-03-01,False
54,Azerbaijan,0.12372870030813439,1.5234769609516876,0.14687916222214625,2020-03-01,False
55,Armenia,0.10573234438188635,1.340800576382616,0.3410151193071841,2020-03-01,False
56,Senegal,0.04631131593233951,0.5641638283509772,0.6934545031160668,2020-03-02,False
57,Saudi Arabia,0.626460263948386,7.425963380122136,0.7907063353144884,2020-03-02,False
58,Indonesia,0.6656934448707034,7.61122675018236,0.7854700241552024,2020-03-02,False
59,Latvia,0.19032785022379373,2.2657189948314036,0.20223601968050686,2020-03-02,False
60,Morocco,0.8019481646774301,9.550405066091036,0.08239666048795358,2020-03-02,False
61,Portugal,0.9182673110597422,10.917653879557562,0.11172849096721904,2020-03-02,False
62,Jordan,0.1595005183286898,1.7620406321178579,0.6995970676051072,2020-03-03,False
63,Argentina,0.08352327649537976,0.864686891818801,0.6402240835625194,2020-03-03,False
64,Ukraine,0.41704538877442415,4.767566677348847,0.3447933744155649,2020-03-03,False
65,Faroe Islands,0.00961165900223709,0.08045461322219341,0.9467215032184594,2020-03-04,False
66,Gibraltar,0.025747324058423154,0.2936680916786533,0.22135576331643436,2020-03-04,False
67,Tunisia,0.5380197805257422,5.873592168763356,0.9033380888320567,2020-03-04,False
68,Hungary,0.32760336955737734,3.553074591573256,0.3631552486225508,2020-03-04,False
69,Poland,1.20556195155232,13.037354899103445,0.7412148797713101,2020-03-04,False
70,Slovenia,0.07157384614552674,0.7128353818763496,0.07318649353644413,2020-03-05,False
71,Bosnia and Herzegovina,0.05163458145851432,0.5131470404230878,0.2111712198044552,2020-03-05,False
72,South Africa,0.14814573645222243,1.4911193955472648,0.38039180399162453,2020-03-05,False
73,Bhutan,0.028752151425932574,0.29101697329137427,0.8543644863566513,2020-03-06,False
74,Colombia,0.091523100572413,0.7900094913185527,0.5285762329871523,2020-03-06,False
75,Serbia,0.2975014667648816,2.784780642690272,0.12955213630970353,2020-03-06,False
76,Slovakia,0.11219669390440609,1.0886915363118834,0.37190838898425926,2020-03-06,False
77,Peru,0.0730985456913144,0.5963591705786614,0.6418582155796537,2020-03-06,False
78,Togo,0.021468188839667425,0.17545412174586655,0.29850030903136904,2020-03-06,False
79,Costa Rica,0.03336058073486629,0.3222545600285388,0.662672127653395,2020-03-06,False
80,Cameroon,0.03985728682510563,0.36240631119546274,0.21378454900917798,2020-03-06,False
81,Malta,0.44389410753958003,4.077501580825805,0.9576056016590482,2020-03-07,False
82,Maldives,0.2006481172309215,1.8666692917657548,0.794527092339725,2020-03-08,False
83,Bulgaria,0.36721452315413416,3.1889431778173294,0.4972445352900845,2020-03-08,False
84,Moldova,0.15599466377526275,1.342705024478633,0.23818896627407138,2020-03-08,False
85,Paraguay,0.02276853156321246,0.1422394058989552,0.05697893556832001,2020-03-08,False
86,Bangladesh,0.2889680857919,2.577328634252506,0.9616348980608475,2020-03-08,False
87,Albania,0.12380565156962421,1.044118067199973,0.8545463699148405,2020-03-09,False
88,Brunei,0.11777240747876856,1.0287519490479813,0.4911208373344136,2020-03-09,False
89,Cyprus,0.5852653326653455,4.409310736905699,0.9132919869239043,2020-03-10,False
90,Burkina Faso,0.04312433070824819,0.28741694179092275,0.3215285374335155,2020-03-10,False
91,Mongolia,0.11307233198187136,1.0436125725860665,0.24168547513973926,2020-03-10,False
92,Panama,0.19041645927892023,1.104769708623358,0.4354282951805839,2020-03-10,False
93,Isle of Man,0.0937928447067821,0.7275419127476762,0.7215144127235207,2020-03-20,False
94,Greenland,0.019887053527832568,0.10468136232371225,0.08546952141736086,2020-03-16,False
95,Mali,0.06478958441027356,0.40343268789587916,0.18055849572993699,2020-03-25,False
96,Djibouti,0.023227626567768608,0.1928954389763279,0.11086548831033038,2020-03-18,False
97,Gambia,0.029979927900756327,0.20055586400330042,0.7900280043955801,2020-03-17,False
98,Guinea-Bissau,0.011008687633254625,0.04877577078180871,0.9081913203309562,2020-03-25,False
99,Sierra Leone,0.04622169327179696,0.3091196365003244,0.20799330435620123,2020-03-31,False
100,Liberia,0.02482903475531645,0.16710295188088026,0.21054954055643404,2020-03-17,False
101,Laos,0.2788092539521077,2.468053556818218,0.9219075862034694,2020-03-24,False
102,Guinea,0.02721252594918433,0.17088554299684064,0.7579176110993782,2020-03-13,False
103,Falkland Islands,0.005056515782592382,0.021497711980499733,0.46878218837602215,2020-04-04,False
104,Ethiopia,0.2717490782606356,2.023916360341226,0.1503795676016746,2020-03-13,False
105,Mauritania,0.05286702015470669,0.3525481929856217,0.5014893733895371,2020-03-14,False
106,Burundi,0.00922438711389714,0.07165275847515262,0.3285512636550886,2020-03-31,False
107,Somalia,0.03128238079124652,0.2519862338280757,0.9457476334210467,2020-03-16,False
108,Namibia,0.026781732674296805,0.15118800861782278,0.16401408991446964,2020-03-14,False
109,Libya,0.1789769737111805,1.084879749788252,0.5163680826145027,2020-03-24,False
110,Rwanda,0.03700559234852405,0.24245647823710464,0.020029839079032774,2020-03-14,False
111,South Sudan,0.01912773836297093,0.14771166181466994,0.006611130553986766,2020-04-05,False
112,Sudan,0.11700756147674425,0.778933588120576,0.24159229114047365,2020-03-14,False
113,Tanzania,0.047819463052679374,0.29530665479218116,0.7254602224058039,2020-03-16,False
114,Uganda,0.0390554235875646,0.27169128569947454,0.0740128461440801,2020-03-21,False
115,Montenegro,0.14968941696395816,1.1312735553931508,0.956457787985717,2020-03-17,False
116,Guyana,0.014253654676112792,0.12556669436696932,0.6086548264070372,2020-03-12,False
117,Palau,0.046294917447374954,0.40877318840845067,0.9169348942551773,2021-08-22,False
118,Bolivia,0.07251115995473434,0.4108782108513559,0.5076057307993901,2020-03-11,True
