,Country,CumulativeProbability,InDegreeDivMax,RandomProbability,InfectedShare,first_occurrence,isInfected
0,Papua New Guinea,0.0013175230566534915,0.014285714285714285,0.3304725815466498,0.04,2020-03-20,False
1,Bahrain,0.0013175230566534915,0.014285714285714285,0.579103185562668,0.06451612903225806,2020-02-24,False
2,Iceland,0.002635046113306983,0.02857142857142857,0.07416645668349076,0.14516129032258066,2020-02-28,False
3,Djibouti,0.0006587615283267457,0.007142857142857143,0.03684149581592844,0.05,2020-03-18,False
4,Saudi Arabia,0.007246376811594203,0.07857142857142857,0.28047510744921744,0.14814814814814814,2020-03-02,False
5,Guinea,0.0006587615283267457,0.007142857142857143,0.4500171299789306,0.08333333333333333,2020-03-13,False
6,Jordan,0.001976284584980237,0.02142857142857143,0.8380631602329475,0.052132701421800945,2020-03-03,False
7,Kuwait,0.0013175230566534915,0.014285714285714285,0.9701686433671598,0.11528150134048257,2020-02-24,False
8,Lebanon,0.0006587615283267457,0.007142857142857143,0.4018651797762013,0.26515151515151514,2020-02-21,False
9,Oman,0.002635046113306983,0.02857142857142857,0.7579865005660712,0.06451612903225806,2020-02-24,False
10,Pakistan,0.009881422924901186,0.10714285714285714,0.2047891740915846,0.125,2020-02-25,False
11,Guyana,0.0006587615283267457,0.007142857142857143,0.18868751836850428,0.0728744939271255,2020-03-12,False
12,Palau,0.0013175230566534915,0.014285714285714285,0.11539695104805592,0.05555555555555555,2021-08-22,False
13,Iran,0.00461133069828722,0.05,0.8262237794053269,0.037037037037037035,2020-02-19,False
14,Benin,0.0006587615283267457,0.007142857142857143,0.9374558694356435,0.022727272727272728,2020-03-16,False
15,Burkina Faso,0.0006587615283267457,0.007142857142857143,0.6360676368676556,0.09340659340659341,2020-03-10,False
16,Cote d'Ivoire,0.0013175230566534915,0.014285714285714285,0.34981643559937114,0.07692307692307693,2020-03-11,False
17,Nigeria,0.0013175230566534915,0.014285714285714285,0.210269222724615,0.12396694214876033,2020-02-28,False
18,Niger,0.0006587615283267457,0.007142857142857143,0.18235434057435396,0.2,2020-03-20,False
19,Tunisia,0.017786561264822132,0.19285714285714284,0.6597783022709238,0.23574144486692014,2020-03-04,False
20,Togo,0.0006587615283267457,0.007142857142857143,0.9869779205417969,0.3305785123966942,2020-03-06,False
21,Belgium,0.019104084321475624,0.20714285714285713,0.35861499395218266,0.5,2020-02-04,False
22,Estonia,0.0006587615283267457,0.007142857142857143,0.9270320825164645,0.0696629213483146,2020-02-27,False
23,Finland,0.008563899868247694,0.09285714285714286,0.5897938861650489,0.05536332179930796,2020-01-29,False
24,Guernsey,0.0006587615283267457,0.007142857142857143,0.4429075606693429,0.1590909090909091,2020-03-22,False
25,Jersey,0.0006587615283267457,0.007142857142857143,0.7408300388849349,0.05263157894736842,2020-03-22,False
26,Brazil,0.002635046113306983,0.02857142857142857,0.619127733597203,0.07142857142857142,2020-02-26,False
27,United Kingdom,0.0922266139657444,1.0,0.024350625327420605,0.1,2020-01-31,False
28,Netherlands,0.022397891963109356,0.24285714285714285,0.7578325550524587,0.03278688524590164,2020-02-27,False
29,Chile,0.0013175230566534915,0.014285714285714285,0.5147893547817918,0.08970976253298153,2020-02-23,False
30,Ireland,0.01383399209486166,0.15,0.3535110998309692,0.1111111111111111,2020-02-29,False
