,Country,CumulativeProbability,InDegreeDivMax,RandomProbability,InfectedShare,first_occurrence,isInfected
0,Isle of Man,0.0059136605558840925,0.027624309392265192,0.5131581474899874,0.7446808510638298,2020-03-20,False
1,Namibia,0.0005913660555884093,0.0027624309392265192,0.44643855052109294,0.9433962264150944,2020-03-14,False
2,Greenland,0.001774098166765228,0.008287292817679558,0.33112907491631327,0.23684210526315788,2020-03-16,False
3,Mali,0.004730928444707274,0.022099447513812154,0.3972424428631781,0.75,2020-03-25,False
4,Djibouti,0.0011827321111768185,0.0055248618784530384,0.6339715085861898,0.2,2020-03-18,False
5,Gambia,0.002365464222353637,0.011049723756906077,0.9432516964200666,1.0,2020-03-17,False
6,Guinea-Bissau,0.0011827321111768185,0.0055248618784530384,0.8053617809716216,0.08333333333333333,2020-03-25,False
7,Slovenia,0.008870490833826138,0.04143646408839779,0.49349918782678237,0.5,2020-03-05,True
8,Sierra Leone,0.0035481963335304554,0.016574585635359115,0.7970537670138487,0.16666666666666666,2020-03-31,False
9,Liberia,0.0017740981667652277,0.008287292817679558,0.28353995671829313,0.6666666666666666,2020-03-17,False
10,Laos,0.010644589000591367,0.049723756906077346,0.23792851065230103,0.5,2020-03-24,False
11,Guinea,0.0017740981667652277,0.008287292817679558,0.22766130363743076,0.7142857142857143,2020-03-13,False
12,Falkland Islands,0.0005913660555884093,0.0027624309392265192,0.670409810145896,0.5454545454545454,2020-04-04,False
13,Malta,0.04139562389118864,0.19337016574585636,0.03998195935910509,0.5,2020-03-07,False
14,Ethiopia,0.01537551744529864,0.0718232044198895,0.7049377206069966,0.7,2020-03-13,False
15,Maldives,0.012418687167356593,0.058011049723756904,0.8600251869522019,0.5806451612903226,2020-03-08,False
16,Bhutan,0.002365464222353637,0.011049723756906077,0.2516574133226871,0.6190476190476191,2020-03-06,False
17,Mauritania,0.004139562389118865,0.019337016574585635,0.5094863417614234,0.375,2020-03-14,False
18,Burundi,0.0005913660555884093,0.0027624309392265192,0.4533674244161586,1.0,2020-03-31,False
19,Somalia,0.001774098166765228,0.008287292817679558,0.8614440032930413,0.25806451612903225,2020-03-16,False
20,Libya,0.01537551744529864,0.0718232044198895,0.8287882281753571,0.5769230769230769,2020-03-24,False
21,Rwanda,0.002365464222353637,0.011049723756906077,0.9963930958661875,0.9210526315789473,2020-03-14,False
22,South Sudan,0.0011827321111768185,0.0055248618784530384,0.11360144824771001,0.4666666666666667,2020-04-05,False
23,Sudan,0.008870490833826138,0.04143646408839779,0.6171359200285588,0.6475849731663685,2020-03-14,False
24,Bosnia and Herzegovina,0.0059136605558840925,0.027624309392265192,0.6455915062709989,0.37681159420289856,2020-03-05,True
25,Uganda,0.002365464222353637,0.011049723756906077,0.7847202457049359,0.8,2020-03-21,False
26,Tanzania,0.0029568302779420462,0.013812154696132596,0.1217222196503771,0.25,2020-03-16,False
27,Albania,0.008870490833826138,0.04143646408839779,0.3745364232458426,0.25,2020-03-09,False
28,Bulgaria,0.03075103489059728,0.14364640883977903,0.8979987019030836,0.5882352941176471,2020-03-08,False
29,Cyprus,0.04376108811354228,0.20441988950276244,0.35006995813222563,0.7692307692307693,2020-03-10,False
30,Colombia,0.012418687167356593,0.058011049723756904,0.11400294406761424,0.2753623188405797,2020-03-06,False
31,Moldova,0.013601419278533412,0.06353591160220995,0.8852097241187495,0.45454545454545453,2020-03-08,False
32,Brunei,0.007096392667060911,0.03314917127071823,0.3535938113927646,0.4666666666666667,2020-03-09,False
33,Serbia,0.03134240094618569,0.14640883977900554,0.15847215536527526,0.23529411764705882,2020-03-06,False
34,Montenegro,0.00827912477823773,0.03867403314917127,0.3293435102402945,0.22580645161290322,2020-03-17,False
35,Guyana,0.0005913660555884093,0.0027624309392265192,0.683044808875193,0.25,2020-03-12,False
36,Paraguay,0.0029568302779420462,0.013812154696132596,0.4084525505102151,0.1388888888888889,2020-03-08,False
37,Bolivia,0.004139562389118865,0.019337016574585635,0.8267897585301037,0.5675675675675675,2020-03-11,False
38,Slovakia,0.011827321111768185,0.055248618784530384,0.2829830113013485,0.26666666666666666,2020-03-06,False
39,Suriname,0.0011827321111768185,0.0055248618784530384,0.25498624534996983,0.8333333333333334,2020-03-14,False
40,Palau,0.0017740981667652277,0.008287292817679558,0.6671830731472562,0.8253968253968254,2021-08-22,False
41,Peru,0.010644589000591367,0.049723756906077346,0.04851875378714632,0.925,2020-03-06,False
42,Guatemala,0.0017740981667652277,0.008287292817679558,0.08084345039157081,0.92,2020-03-14,False
43,Honduras,0.0005913660555884093,0.0027624309392265192,0.7952986035183315,1.0,2020-03-11,False
44,Jamaica,0.0059136605558840925,0.027624309392265192,0.6838882327541232,0.21212121212121213,2020-03-11,False
45,Benin,0.0035481963335304554,0.016574585635359115,0.09772201715151507,0.7910447761194029,2020-03-16,False
46,Burkina Faso,0.0035481963335304554,0.016574585635359115,0.6222258839541603,0.7777777777777778,2020-03-10,False
47,Ghana,0.006505026611472502,0.03038674033149171,0.38640202122004774,0.2,2020-03-14,False
48,Cote d'Ivoire,0.004730928444707274,0.022099447513812154,0.21917598903047153,0.9090909090909091,2020-03-11,False
49,Uruguay,0.0059136605558840925,0.027624309392265192,0.8955930100653794,0.5,2020-03-13,False
50,Niger,0.002365464222353637,0.011049723756906077,0.07806973405549433,0.75,2020-03-20,False
51,Turkey,0.21407451212300413,1.0,0.13252901578884801,0.375,2020-03-11,False
52,Venezuela,0.00887049083382614,0.04143646408839779,0.7664540007417955,0.25,2020-03-14,False
53,Burma,0.012418687167356595,0.058011049723756904,0.41871419979110247,0.1111111111111111,2020-03-27,False
54,Togo,0.0029568302779420462,0.013812154696132596,0.7890614477015636,0.5,2020-03-06,False
55,South Africa,0.01478415138971023,0.06906077348066297,0.7450283431882789,0.3157894736842105,2020-03-05,True
56,North Korea,0.002365464222353637,0.011049723756906077,0.4858756173810017,0.42857142857142855,2022-05-14,False
57,Mongolia,0.004139562389118865,0.019337016574585635,0.6907015450560153,0.4074074074074074,2020-03-10,False
58,Antigua and Barbuda,0.0035481963335304554,0.016574585635359115,0.7231438504084247,0.4,2020-03-13,False
59,Barbados,0.002365464222353637,0.011049723756906077,0.635355861857554,0.48120300751879697,2020-03-17,False
60,Papua New Guinea,0.005322294500295683,0.024861878453038673,0.8236027457182116,0.13793103448275862,2020-03-20,False
61,Grenada,0.0005913660555884093,0.0027624309392265192,0.8925710582997642,0.4444444444444444,2020-03-22,False
62,Saint Lucia,0.0017740981667652277,0.008287292817679558,0.20512959604888925,0.22522522522522523,2020-03-14,False
63,Panama,0.013601419278533412,0.06353591160220995,0.23937099918293836,0.28846153846153844,2020-03-10,False
64,Trinidad and Tobago,0.001774098166765228,0.008287292817679558,0.7929246458154874,0.35714285714285715,2020-03-14,False
65,Costa Rica,0.0029568302779420462,0.013812154696132596,0.7500278258994562,1.0,2020-03-06,False
66,Kyrgyzstan,0.014784151389710232,0.06906077348066297,0.8883444673934918,0.42857142857142855,2020-03-18,False
67,El Salvador,0.0029568302779420462,0.013812154696132596,0.8736941304468909,0.2857142857142857,2020-03-19,False
68,Haiti,0.0017740981667652277,0.008287292817679558,0.9217413967213367,0.16666666666666666,2020-03-20,False
69,Lithuania,0.0384387936132466,0.17955801104972374,0.02937346804994878,0.5666666666666667,2020-03-19,False
70,Congo (Brazzaville),0.002365464222353637,0.011049723756906077,0.4761421288751424,0.5,2020-03-15,False
71,Central African Republic,0.0005913660555884093,0.0027624309392265192,0.6904095421046043,0.42592592592592593,2020-03-15,False
72,Equatorial Guinea,0.002365464222353637,0.011049723756906077,0.662582620907177,0.17647058823529413,2020-03-15,False
73,Mauritius,0.00827912477823773,0.03867403314917127,0.4252585128844649,0.16666666666666666,2020-03-18,False
74,Eritrea,0.0011827321111768185,0.0055248618784530384,0.6256411264229118,0.7142857142857143,2020-03-21,False
75,Cameroon,0.004730928444707274,0.022099447513812154,0.33936965176056644,0.2631578947368421,2020-03-06,False
76,Cuba,0.021880544056771145,0.1022099447513812,0.047015703243832085,0.6,2020-03-12,False
77,Yemen,0.020106445890005913,0.09392265193370165,0.7405693878206127,0.6166666666666667,2020-04-10,False
78,Zambia,0.0005913660555884093,0.0027624309392265192,0.7990286200209038,0.2,2020-03-18,False
79,Madagascar,0.0017740981667652277,0.008287292817679558,0.5155445284029595,0.9558823529411765,2020-03-20,False
80,Tajikistan,0.029568302779420463,0.13812154696132595,0.3751609119811464,0.5,2020-05-01,False
