,Country,CumulativeProbability,InDegreeDivMax,RandomProbability,InfectedShare,first_occurrence,isInfected
0,Isle of Man,0.0044782803403493054,0.028901734104046242,0.4103798073061785,0.7446808510638298,2020-03-20,False
1,Namibia,0.0004478280340349306,0.002890173410404624,0.7741886952914401,0.9433962264150944,2020-03-14,False
2,Greenland,0.0013434841021047917,0.008670520231213872,0.2879593702668851,0.23684210526315788,2020-03-16,False
3,Mali,0.003134796238244514,0.02023121387283237,0.8523497289326415,0.74,2020-03-25,False
4,Djibouti,0.0008956560680698612,0.005780346820809248,0.3216571518935164,0.2,2020-03-18,False
5,Gambia,0.0017913121361397223,0.011560693641618497,0.20542813395049309,1.0,2020-03-17,False
6,Guinea-Bissau,0.0008956560680698612,0.005780346820809248,0.5310564324968577,0.08333333333333333,2020-03-25,False
7,Slovenia,0.006269592476489028,0.04046242774566474,0.4560121414141616,0.6938775510204082,2020-03-05,False
8,Sierra Leone,0.0026869682042095834,0.017341040462427744,0.3350930482821336,0.4375,2020-03-31,False
9,Liberia,0.0013434841021047917,0.008670520231213872,0.6714914741469425,0.16666666666666666,2020-03-17,False
10,Laos,0.00806090461262875,0.05202312138728324,0.033167974634786046,0.6666666666666666,2020-03-24,False
11,Guinea,0.0013434841021047917,0.008670520231213872,0.8432068055419489,0.5,2020-03-13,False
12,Malta,0.029556650246305417,0.1907514450867052,0.8292380043102008,0.6666666666666666,2020-03-07,False
13,Ethiopia,0.011643528884908196,0.07514450867052024,0.24332400388867825,0.5454545454545454,2020-03-13,False
14,Maldives,0.009404388714733541,0.06069364161849711,0.8774538479660078,0.5,2020-03-08,False
15,Bhutan,0.0017913121361397223,0.011560693641618497,0.06604873239292242,0.7,2020-03-06,False
16,Mauritania,0.0026869682042095834,0.017341040462427744,0.859466036010925,0.5806451612903226,2020-03-14,False
17,Burundi,0.0004478280340349306,0.002890173410404624,0.8780244190669023,0.39473684210526316,2020-03-31,False
18,Somalia,0.0013434841021047917,0.008670520231213872,0.8537414128847197,0.375,2020-03-16,False
19,Faroe Islands,0.0017913121361397223,0.011560693641618497,0.1417317947067055,0.25806451612903225,2020-03-04,False
20,Jordan,0.019256605463502014,0.12427745664739884,0.9008138791122065,0.5384615384615384,2020-03-03,True
21,Libya,0.006717420510523958,0.04335260115606936,0.06477491841205973,0.868421052631579,2020-03-24,False
22,Rwanda,0.0017913121361397223,0.011560693641618497,0.388843464647623,0.4,2020-03-14,False
23,South Sudan,0.0008956560680698612,0.005780346820809248,0.08453632498277541,0.6189624329159212,2020-04-05,False
24,Sudan,0.006269592476489028,0.040462427745664734,0.5922460283222716,0.37681159420289856,2020-03-14,False
25,Uganda,0.0017913121361397223,0.011560693641618497,0.38898739784410796,0.8,2020-03-21,False
26,Albania,0.006717420510523959,0.04335260115606936,0.09685126346805051,0.25,2020-03-09,False
27,Cyprus,0.02866099417823556,0.18497109826589594,0.4954026155908676,0.25,2020-03-10,False
28,Bulgaria,0.02283922973578146,0.14739884393063585,0.66919981017855,0.5882352941176471,2020-03-08,False
29,Moldova,0.009852216748768473,0.06358381502890173,0.658713962729021,1.0,2020-03-08,False
30,Brunei,0.005373936408419167,0.03468208092485549,0.579673921345515,0.2753623188405797,2020-03-09,False
31,Gibraltar,0.0022391401701746527,0.014450867052023121,0.2521614185062495,0.7962962962962963,2020-03-04,False
32,Serbia,0.022391401701746527,0.14450867052023122,0.11199940761730998,0.8721311475409836,2020-03-06,False
33,Montenegro,0.006269592476489028,0.04046242774566474,0.8582850532699745,0.2727272727272727,2020-03-17,False
34,Guyana,0.0004478280340349306,0.002890173410404624,0.44573745158299727,0.4666666666666667,2020-03-12,False
35,Paraguay,0.0013434841021047917,0.008670520231213872,0.21182153946229954,0.23529411764705882,2020-03-08,False
36,Bolivia,0.002686968204209584,0.017341040462427744,0.9228249651673113,0.21505376344086022,2020-03-11,False
37,Slovakia,0.008956560680698613,0.057803468208092484,0.1169404816374946,0.25,2020-03-06,False
38,Suriname,0.0008956560680698612,0.005780346820809248,0.8554587388267662,0.1388888888888889,2020-03-14,False
39,Palau,0.0013434841021047917,0.008670520231213872,0.8816947666806942,0.5675675675675675,2021-08-22,False
40,Peru,0.007165248544558889,0.046242774566473986,0.290690807535809,0.26666666666666666,2020-03-06,False
41,Guatemala,0.0013434841021047917,0.008670520231213872,0.4481096828207246,0.8095238095238095,2020-03-14,False
42,Honduras,0.0004478280340349306,0.002890173410404624,0.19670498077899556,0.8333333333333334,2020-03-11,False
43,Jamaica,0.0044782803403493054,0.028901734104046242,0.016818654647017595,0.8,2020-03-11,False
44,Benin,0.0026869682042095834,0.017341040462427744,0.3990303014826866,0.88,2020-03-16,False
45,Burkina Faso,0.0022391401701746527,0.014450867052023121,0.12370710609769664,1.0,2020-03-10,False
