,Country,CumulativeProbability,InDegreeDivMax,RandomProbability,InfectedShare,first_occurrence,isInfected
0,Tonga,0.13793103448275862,0.6666666666666666,0.01326574948118231,1.0,2021-10-29,False
1,Nauru,0.06896551724137931,0.3333333333333333,0.3591287143308509,0.6666666666666666,2022-04-04,False
2,Kiribati,0.10344827586206896,0.5,0.9534457672702293,0.20689655172413793,2021-05-18,False
3,Palau,0.10344827586206896,0.5,0.5852739219187203,0.75,2021-08-22,False
4,Samoa,0.13793103448275862,0.6666666666666666,0.2736547094757579,0.75,2020-11-18,False
5,North Korea,0.13793103448275862,0.6666666666666666,0.7062740211152386,1.0,2022-05-14,False
6,Tuvalu,0.034482758620689655,0.16666666666666666,0.6586240030064369,1.0,2022-05-23,False
7,Vanuatu,0.20689655172413796,1.0,0.8235496238451806,1.0,2020-11-10,True
8,Micronesia,0.06896551724137931,0.3333333333333333,0.06021298084184401,0.4,2021-01-21,False
