,Country,CumulativeProbability,InDegreeDivMax,RandomProbability,InfectedShare,first_occurrence,isInfected
0,Comoros,0.024539877300613498,0.07547169811320754,0.3994794076590741,1.0,2020-04-30,False
1,South Sudan,0.049079754601226995,0.1509433962264151,0.7615311232033183,0.7166666666666667,2020-04-05,False
2,Sierra Leone,0.06748466257668712,0.20754716981132076,0.9704225073434961,1.0,2020-03-31,True
3,Tajikistan,0.32515337423312884,1.0,0.17879573842758045,0.1724137931034483,2020-05-01,False
4,Tonga,0.024539877300613498,0.07547169811320754,0.19623928737495844,1.0,2021-10-29,False
5,Samoa,0.024539877300613498,0.07547169811320754,0.35063094459538835,1.0,2020-11-18,False
6,North Korea,0.024539877300613498,0.07547169811320754,0.3474918159140913,1.0,2022-05-14,False
7,Yemen,0.2638036809815951,0.8113207547169812,0.8708398373093952,0.5,2020-04-10,False
8,Falkland Islands,0.006134969325153374,0.018867924528301886,0.10004606484573009,1.0,2020-04-04,False
9,Kiribati,0.012269938650306749,0.03773584905660377,0.9959541508760752,1.0,2021-05-18,False
10,Sao Tome and Principe,0.012269938650306749,0.03773584905660377,0.16428752589389595,1.0,2020-04-06,False
11,Vanuatu,0.03067484662576687,0.09433962264150943,0.6992713234161654,1.0,2020-11-10,False
12,Palau,0.018404907975460124,0.05660377358490566,0.09178184836154912,0.75,2021-08-22,False
13,Burundi,0.024539877300613498,0.07547169811320754,0.46154347334622214,1.0,2020-03-31,True
14,Solomon Islands,0.018404907975460124,0.05660377358490566,0.6680062710241288,0.17647058823529413,2020-10-12,False
15,Nauru,0.006134969325153374,0.018867924528301886,0.9487575844802476,0.3333333333333333,2022-04-04,False
16,Tuvalu,0.006134969325153374,0.018867924528301886,0.49453714131729476,1.0,2022-05-23,False
17,Malawi,0.05521472392638037,0.169811320754717,0.38673356124551495,0.8181818181818182,2020-04-02,False
18,Lesotho,0.006134969325153374,0.018867924528301886,0.6590722141807187,1.0,2020-05-13,False
