,Country,CumulativeProbability,InDegreeDivMax,RandomProbability,InfectedShare,first_occurrence,isInfected
0,Solomon Islands,0.037037037037037035,0.05660377358490566,0.32639503468778575,1.0,2020-10-12,False
1,Tonga,0.04938271604938271,0.07547169811320754,0.6100352261750439,0.17647058823529413,2021-10-29,False
2,Tajikistan,0.654320987654321,1.0,0.591228778396882,1.0,2020-05-01,True
3,Nauru,0.012345679012345678,0.018867924528301886,0.9288460721599899,0.1724137931034483,2022-04-04,False
4,Palau,0.037037037037037035,0.05660377358490566,0.1260222735201375,0.3333333333333333,2021-08-22,False
5,Samoa,0.04938271604938271,0.07547169811320754,0.3788909549820554,0.5,2020-11-18,False
6,North Korea,0.04938271604938271,0.07547169811320754,0.32053033734208913,0.75,2022-05-14,False
7,Kiribati,0.024691358024691357,0.03773584905660377,0.34854913343227656,1.0,2021-05-18,False
8,Vanuatu,0.06172839506172839,0.09433962264150943,0.9284518220790213,1.0,2020-11-10,False
9,Tuvalu,0.012345679012345678,0.018867924528301886,0.7607866677112374,1.0,2022-05-23,False
10,Lesotho,0.012345679012345678,0.018867924528301886,0.28812459847499206,1.0,2020-05-13,False
