,Country,CumulativeProbability,InDegreeDivMax,RandomProbability,InfectedShare,first_occurrence,isInfected
0,Isle of Man,0.006112469437652812,0.026881720430107527,0.9243835556922171,0.7659574468085106,2020-03-20,False
1,Greenland,0.0018337408312958435,0.008064516129032258,0.5954636938121847,0.9433962264150944,2020-03-16,False
2,Mali,0.005501222493887531,0.024193548387096774,0.9306720451516404,0.23684210526315788,2020-03-25,False
3,Djibouti,0.0012224938875305623,0.005376344086021506,0.5685806013445943,0.75,2020-03-18,False
4,Gambia,0.0024449877750611247,0.010752688172043012,0.9859811598692888,0.2,2020-03-17,False
5,Guinea-Bissau,0.0012224938875305623,0.005376344086021506,0.29111636408173114,1.0,2020-03-25,False
6,Sierra Leone,0.003667481662591687,0.016129032258064516,0.44294689235925166,0.3333333333333333,2020-03-31,False
7,Liberia,0.0018337408312958435,0.008064516129032258,0.4416169738143111,0.23076923076923078,2020-03-17,False
8,Laos,0.011002444987775062,0.04838709677419355,0.1236496131318704,0.5625,2020-03-24,False
9,Guinea,0.0024449877750611247,0.010752688172043012,0.43008986857145415,0.16666666666666666,2020-03-13,False
10,Falkland Islands,0.0006112469437652812,0.002688172043010753,0.9872304743981482,0.6666666666666666,2020-04-04,False
11,Malta,0.042787286063569685,0.1881720430107527,0.27440346732258813,0.5,2020-03-07,True
12,Ethiopia,0.017726161369193152,0.07795698924731183,0.6321356683078068,0.5454545454545454,2020-03-13,False
13,Maldives,0.012836185819070905,0.05645161290322581,0.8334022553025725,0.5,2020-03-08,False
14,Mauritania,0.004278728606356969,0.01881720430107527,0.049593922926714606,0.7,2020-03-14,False
15,Burundi,0.0006112469437652812,0.002688172043010753,0.5405005041328539,0.5806451612903226,2020-03-31,False
16,Somalia,0.0018337408312958435,0.008064516129032258,0.8699664039513577,0.6190476190476191,2020-03-16,False
17,Namibia,0.003056234718826406,0.013440860215053764,0.9114793127514847,0.5,2020-03-14,False
18,Libya,0.01589242053789731,0.06989247311827956,0.4222436490503553,1.0,2020-03-24,False
19,Rwanda,0.003056234718826406,0.013440860215053764,0.49833265154814554,0.5769230769230769,2020-03-14,False
20,South Sudan,0.0012224938875305623,0.005376344086021506,0.4970259080633269,0.9210526315789473,2020-04-05,False
21,Sudan,0.009168704156479218,0.04032258064516129,0.20109637515619905,0.4666666666666667,2020-03-14,False
22,Tanzania,0.004278728606356968,0.01881720430107527,0.5457613866850319,0.6654740608228981,2020-03-16,False
23,Uganda,0.003056234718826406,0.013440860215053764,0.9394484271458362,0.42028985507246375,2020-03-21,False
24,Albania,0.009779951100244499,0.043010752688172046,0.6491918194720485,0.25,2020-03-09,False
25,Bulgaria,0.03300733496332518,0.14516129032258066,0.6441396756721928,0.25,2020-03-08,False
26,Cyprus,0.04584352078239609,0.20161290322580644,0.4875999462930306,0.8461538461538461,2020-03-10,False
27,Moldova,0.014058679706601468,0.06182795698924731,0.37054739215626487,0.3188405797101449,2020-03-08,False
28,Brunei,0.007334963325183374,0.03225806451612903,0.9253687090211933,0.5454545454545454,2020-03-09,False
29,Montenegro,0.01039119804400978,0.0456989247311828,0.6698084865501166,0.4666666666666667,2020-03-17,False
30,Guyana,0.0006112469437652812,0.002688172043010753,0.431730256861509,0.29411764705882354,2020-03-12,False
31,Paraguay,0.0036674816625916875,0.016129032258064516,0.13822344920682716,0.25,2020-03-08,False
32,Palau,0.0018337408312958435,0.008064516129032258,0.08074298079571962,0.19444444444444445,2021-08-22,False
33,Bolivia,0.007334963325183375,0.03225806451612903,0.795725647388817,0.5675675675675675,2020-03-11,False
34,Suriname,0.0012224938875305623,0.005376344086021506,0.2573244178425943,0.3333333333333333,2020-03-14,False
35,Guatemala,0.003056234718826406,0.013440860215053764,0.015140552027881449,0.8888888888888888,2020-03-14,False
36,Honduras,0.0018337408312958435,0.008064516129032258,0.9558052126830296,0.8571428571428571,2020-03-11,False
37,Jamaica,0.006112469437652811,0.026881720430107527,0.14546446675632396,0.9375,2020-03-11,False
38,Benin,0.004889975550122249,0.021505376344086023,0.4691689178059155,0.92,2020-03-16,False
39,Burkina Faso,0.004278728606356968,0.01881720430107527,0.8004476295258167,1.0,2020-03-10,False
40,Ghana,0.007946210268948655,0.03494623655913978,0.7775321800585344,0.36363636363636365,2020-03-14,False
41,Cote d'Ivoire,0.006112469437652812,0.026881720430107527,0.5116812223113657,0.9444444444444444,2020-03-11,False
