,Country,CumulativeProbability,InDegreeDivMax,RandomProbability,first_occurrence,isInfected
0,Vietnam,0.13872832369942195,1.3846153846153846,0.6495862469841592,2020-01-23,False
1,Singapore,0.1348747591522158,1.3461538461538463,0.7291185661983272,2020-01-23,False
2,Canada,0.05394990366088632,0.5384615384615384,0.8622685583372763,2020-01-23,False
3,France,0.06520533673880897,0.6961538461538461,0.04664531803568428,2020-01-24,False
4,Nepal,0.038019152716498146,0.39779560966611327,0.5732679007758613,2020-01-25,False
5,Malaysia,0.2517975145216179,2.6471776425013838,0.2061276731363959,2020-01-25,False
6,Australia,0.19915468656450994,2.103813213165731,0.27770874192646355,2020-01-26,False
7,Sri Lanka,0.05047072352047169,0.5335612828418583,0.38454404469643333,2020-01-27,False
8,Cambodia,0.12873948444291916,1.3681121037236146,0.2314423441722543,2020-01-27,False
9,Germany,0.29755140512365635,3.1901046196010223,0.2955054268409433,2020-01-27,False
10,Finland,0.0831774079668156,0.8639777866100917,0.5804947683942967,2020-01-29,False
11,United Arab Emirates,0.18683665035250693,1.9486452265253882,0.7011510889412665,2020-01-29,False
12,India,0.24206111208991107,2.4988967592826925,0.9795764549353594,2020-01-30,False
13,Philippines,0.2162987453323929,2.253892329386257,0.47630780411306595,2020-01-30,False
14,United Kingdom,0.5941959638468108,6.037227279794089,0.19039531078911753,2020-01-31,False
15,Italy,0.5356470630108965,5.34233563115329,0.7339169916601376,2020-01-31,False
16,Russia,0.5588424470086394,5.721427682851313,0.41150429011139134,2020-01-31,False
17,Sweden,0.09355558584279938,0.8671729996016831,0.9174729761579171,2020-02-01,False
18,Spain,0.6852318742889499,6.165247582154057,0.5386517769044458,2020-02-01,False
19,Belgium,0.16425541161646584,1.789418064614044,0.5755515347809721,2020-02-04,False
20,Egypt,0.11598079712521848,1.3544924330624108,0.2893249035909673,2020-02-14,False
21,Iran,0.11417852851352785,1.3276945188002363,0.7267010413138713,2020-02-19,False
22,Lebanon,0.027670825759106232,0.35464193556421575,0.9467883338780577,2020-02-21,False
23,Israel,0.10917611006360593,1.3314268526753494,0.4419565495737914,2020-02-21,False
24,Chile,0.016311660123344444,0.19711495780332436,0.3359351039906652,2020-02-23,False
25,Bahrain,0.05497166045350216,0.704119434932901,0.8879662935212291,2020-02-24,False
26,Afghanistan,0.019389967413827956,0.2643711455492475,0.18567256151885747,2020-02-24,False
27,Kuwait,0.06703662739640845,0.8841167008023254,0.7108423427662782,2020-02-24,False
28,Oman,0.08505302570890251,1.0943645905281314,0.9146505691554565,2020-02-24,False
29,Iraq,0.06259860535681241,0.8369406253413338,0.3854805298952976,2020-02-24,False
30,Croatia,0.2870243582495663,3.772166548731197,0.896598585242649,2020-02-25,False
31,Algeria,0.2669864463129951,3.3009943559926667,0.13963103435830415,2020-02-25,False
32,Austria,0.2809221932778476,3.6862747481412006,0.9464937582627317,2020-02-25,False
33,Switzerland,0.43738672390081534,5.7512834573109215,0.9370384652209782,2020-02-25,False
34,Pakistan,0.2199939311850749,2.7625571967363007,0.32786293796865473,2020-02-25,False
35,Brazil,0.08007659342659643,1.0543581879389272,0.42638618806018047,2020-02-26,False
36,Norway,0.3522981749879517,4.830841945112108,0.30437852038550695,2020-02-26,False
37,Romania,0.21419208285742997,2.929580911103895,0.910348681351125,2020-02-26,False
38,Greece,0.8445091822572101,11.16269934447412,0.22754767217742744,2020-02-26,False
39,Georgia,0.03900635322166184,0.5000623993897092,0.7962184847136234,2020-02-26,False
40,Estonia,0.05318970730066869,0.7200036561558989,0.2741163680755646,2020-02-27,False
41,Netherlands,0.6543250698591265,8.498788168447879,0.07233441465181223,2020-02-27,False
42,Denmark,0.33214842458504196,4.363063316069922,0.279611679159406,2020-02-27,False
43,Iceland,0.08012185943653682,1.0191594964630148,0.07336045537698466,2020-02-28,False
44,Nigeria,0.05168053523162135,0.6676790501712345,0.3278176941315366,2020-02-28,False
45,Belarus,0.0835747801844669,1.0896211532161135,0.36355919903214606,2020-02-28,False
46,Mexico,0.205439559150075,2.4852093151317787,0.8100507530426622,2020-02-28,False
47,New Zealand,0.1770589153035655,2.1058097955918593,0.6463908521962733,2020-02-28,False
48,Luxembourg,0.13321845366722324,1.687090995265619,0.6405523932144359,2020-02-29,False
49,Qatar,0.3422733963599571,4.131158260686469,0.033953369717486415,2020-02-29,False
50,Ireland,0.6182126182828969,7.968395027191434,0.19799439254952345,2020-02-29,False
51,Ecuador,0.014283562920291707,0.17487997954360934,0.4478513127399254,2020-03-01,False
52,Dominican Republic,0.1568178544868256,1.8891090756809115,0.0772711948728152,2020-03-01,False
53,Czech Republic,0.31433709094766726,3.8981248953850236,0.7812695791834523,2020-03-01,False
54,Azerbaijan,0.12372870030813439,1.5234769609516876,0.19635364867005822,2020-03-01,False
55,Armenia,0.10573234438188635,1.340800576382616,0.5680099925354064,2020-03-01,False
56,Senegal,0.04631131593233951,0.5641638283509772,0.32066754185143354,2020-03-02,False
57,Saudi Arabia,0.626460263948386,7.425963380122136,0.10009266771965086,2020-03-02,False
58,Indonesia,0.6656934448707034,7.61122675018236,0.22130016180480772,2020-03-02,False
59,Latvia,0.19032785022379373,2.2657189948314036,0.9669029631660001,2020-03-02,False
60,Morocco,0.8019481646774301,9.550405066091036,0.3889302496980527,2020-03-02,False
61,Portugal,0.9182673110597422,10.917653879557562,0.9908931289978068,2020-03-02,False
62,Jordan,0.1595005183286898,1.7620406321178579,0.6288268404123508,2020-03-03,False
63,Argentina,0.08352327649537976,0.864686891818801,0.6672039805422019,2020-03-03,False
64,Ukraine,0.41704538877442415,4.767566677348847,0.05485470586959795,2020-03-03,False
65,Faroe Islands,0.00961165900223709,0.08045461322219341,0.552128256101052,2020-03-04,False
66,Gibraltar,0.025747324058423154,0.2936680916786533,0.2807646981302435,2020-03-04,False
67,Tunisia,0.5380197805257422,5.873592168763356,0.9177045134123198,2020-03-04,False
68,Hungary,0.32760336955737734,3.553074591573256,0.6683403525059763,2020-03-04,False
69,Poland,1.20556195155232,13.037354899103445,0.7988377470173111,2020-03-04,False
70,Slovenia,0.07157384614552674,0.7128353818763496,0.6256423767315915,2020-03-05,False
71,Bosnia and Herzegovina,0.05163458145851432,0.5131470404230878,0.44783146588931555,2020-03-05,False
72,South Africa,0.14814573645222243,1.4911193955472648,0.2942592751539611,2020-03-05,False
73,Isle of Man,0.05975612458768272,0.5954444676003835,0.8444250268806744,2020-03-20,False
74,Greenland,0.009676037492102755,0.06505212877952445,0.9830872549455811,2020-03-16,False
75,Mali,0.033398960545508366,0.28197429317591216,0.155437847637248,2020-03-25,False
76,Djibouti,0.016420282543948735,0.16647594994686937,0.9491957229976193,2020-03-18,False
77,Gambia,0.016365239853116574,0.14771688594438334,0.8466709950537356,2020-03-17,False
78,Guinea-Bissau,0.00420134360943475,0.022356281752350177,0.5407203163546628,2020-03-25,False
79,Sierra Leone,0.02579966120033734,0.2298611694119488,0.9412874407944399,2020-03-31,False
80,Liberia,0.01461801871958664,0.12747371833669244,0.9071539656332022,2020-03-17,False
81,Laos,0.21754315773772884,2.2302781555530915,0.41307202463399373,2020-03-24,False
82,Guinea,0.01359783790154458,0.11804656493792356,0.25377052456019433,2020-03-13,False
83,Falkland Islands,0.0016528437706824443,0.008287967465770464,0.39637286548733464,2020-04-04,False
84,Malta,0.40110682147601034,3.8893295378150525,0.6821188106433315,2020-03-07,False
85,Ethiopia,0.17228501415767167,1.6382630753266734,0.6722593713031803,2020-03-13,False
86,Maldives,0.17445315278589638,1.7540679462422082,0.4470125941128342,2020-03-08,False
87,Bhutan,0.028752151425932574,0.29101697329137427,0.0836627277482096,2020-03-06,True
88,Mauritania,0.029041316071337125,0.2600799813825168,0.6859062526537392,2020-03-14,False
89,Burundi,0.005820715101987203,0.05844301396042336,0.18460597033148618,2020-03-31,False
90,Somalia,0.021071364755516707,0.21235700028388793,0.3764337180688646,2020-03-16,False
91,Namibia,0.009763372614747117,0.08513928604417643,0.6164493317597349,2020-03-14,False
92,Libya,0.08489665126523278,0.720383247461854,0.5581603706737306,2020-03-24,False
93,Rwanda,0.01998723228897436,0.1764077556634583,0.6457145160761057,2020-03-14,False
94,South Sudan,0.012320394339151053,0.1212921727852114,0.9869057811016405,2020-04-05,False
95,Sudan,0.0659524812980952,0.5807874203996369,0.5944998940260801,2020-03-14,False
96,Tanzania,0.023993758969309813,0.2028384431890763,0.1967910657697095,2020-03-16,False
97,Uganda,0.02203706352801491,0.2056425631258282,0.4447021979147908,2020-03-21,False
98,Albania,0.09275957233302257,0.915998523520657,0.8882312520431852,2020-03-09,False
99,Bulgaria,0.299856043152641,2.899396860756781,0.3819792750390001,2020-03-08,False
100,Cyprus,0.38057711329457133,3.5875998316933453,0.7887007704368028,2020-03-10,False
101,Colombia,0.091523100572413,0.7900094913185527,0.3562770641359879,2020-03-06,True
102,Moldova,0.12730494081166382,1.219379741286177,0.5196661146461811,2020-03-08,False
103,Brunei,0.09448784805131732,0.9326622912884944,0.5736354935420508,2020-03-09,False
104,Serbia,0.2975014667648816,2.784780642690272,0.6870117994539056,2020-03-06,True
105,Montenegro,0.09182699276148922,0.9067078986427534,0.6175482192496042,2020-03-17,False
106,Guyana,0.010849982664202855,0.11235694985224005,0.07630400229854561,2020-03-12,False
107,Paraguay,0.015284256007491004,0.11006759289222759,0.0749667777619889,2020-03-08,False
108,Bolivia,0.028753227301616308,0.24194280690692638,0.18177140128311242,2020-03-11,False
109,Slovakia,0.11219669390440609,1.0886915363118834,0.08849792077344121,2020-03-06,True
110,Suriname,0.0071636497439052345,0.05121664936386668,0.7156878949620741,2020-03-14,False
111,Palau,0.03608390141164514,0.3691439548642629,0.4349854691754096,2021-08-22,False
112,Peru,0.0730985456913144,0.5963591705786614,0.7226133166938131,2020-03-06,True
113,Guatemala,0.012323653367359782,0.10389089064590451,0.5331393821856059,2020-03-14,False
114,Honduras,0.003120852622759434,0.020605294274943967,0.778096653926665,2020-03-11,False
115,Jamaica,0.07471388113129318,0.7448331207470461,0.11696848115145031,2020-03-11,False
116,Benin,0.025660258249050653,0.21770016744823484,0.2929458681540841,2020-03-16,False
117,Burkina Faso,0.02460165692790893,0.2129435887996431,0.6917641517563184,2020-03-10,False
118,Ghana,0.05138683690055221,0.4551842301338032,0.33462462651296687,2020-03-14,False
119,Cote d'Ivoire,0.03711900384277819,0.3292391662601604,0.009123439263728494,2020-03-11,False
120,Uruguay,0.032130526665339505,0.24407404818824543,0.3729200311211204,2020-03-13,False
121,Niger,0.01862221252257044,0.1584330568616036,0.7528142417344678,2020-03-20,False
122,Turkey,2.051786000272554,19.338088463873127,0.48154853138417375,2020-03-11,False
123,Venezuela,0.06327187141783759,0.5439189716213875,0.9121236073682459,2020-03-14,False
124,Burma,0.2640120929421215,2.696132887254467,0.03351454242960128,2020-03-27,False
125,Togo,0.021468188839667425,0.17545412174586655,0.7687919936145665,2020-03-06,True
126,North Korea,0.04445719981534728,0.4543613049209295,0.057076306607449445,2022-05-14,False
127,Mongolia,0.0945496582015321,0.9691392195947868,0.41448367869945835,2020-03-10,False
128,Antigua and Barbuda,0.033948295874971356,0.3150407146092236,0.25512935446199503,2020-03-13,False
129,Barbados,0.027236050027680155,0.2681886384107015,0.2781104391484316,2020-03-17,False
130,Papua New Guinea,0.07325969138248152,0.734780261269204,0.3993898197262312,2020-03-20,False
131,Grenada,0.010849982664202855,0.11235694985224005,0.8394144798528004,2020-03-22,False
132,Saint Lucia,0.023506732530358804,0.24081352927647137,0.46339778637083184,2020-03-14,False
133,Panama,0.08846608461917413,0.6952087107921117,0.2283018890596138,2020-03-10,False
134,Trinidad and Tobago,0.024591553948808204,0.25079556385989826,0.6712050160122459,2020-03-14,False
135,Costa Rica,0.03336058073486629,0.3222545600285388,0.8688075091139301,2020-03-06,True
136,Kyrgyzstan,0.17565513120237242,1.7854450170553973,0.38824508939591706,2020-03-18,False
137,El Salvador,0.022007317233442188,0.1820776663083243,0.04678645758831368,2020-03-19,False
138,Haiti,0.022704291618172917,0.2223022969909116,0.8757816536572193,2020-03-20,False
139,Botswana,0.0035252643948296123,0.016393442622950817,0.32845828355630247,2020-03-30,False
140,Lithuania,0.3293009338569661,3.0332823049709465,0.23921995918285155,2020-03-19,False
141,Congo (Brazzaville),0.024169420325264285,0.2192013289978139,0.7022587061503727,2020-03-15,False
