,Country,CumulativeProbability,InDegreeDivMax,RandomProbability,InfectedShare,first_occurrence,isInfected
0,Namibia,0.0002748763056624519,0.0035842293906810036,0.4325695322613572,0.9433962264150944,2020-03-14,False
1,Iceland,0.005222649807586586,0.06810035842293907,0.8169733368516603,0.71,2020-02-28,False
2,Djibouti,0.0005497526113249038,0.007168458781362007,0.8362889461126365,0.21052631578947367,2020-03-18,False
3,Saudi Arabia,0.04288070368334249,0.5591397849462365,0.6391984726778673,0.5032258064516129,2020-03-02,False
4,Guinea,0.0002748763056624519,0.0035842293906810036,0.35809551952393504,0.08333333333333333,2020-03-13,False
5,Jordan,0.009345794392523364,0.12186379928315412,0.22759093083599802,0.7037037037037037,2020-03-03,False
6,Guyana,0.0002748763056624519,0.0035842293906810036,0.27373569788685836,0.5510204081632653,2020-03-12,False
7,Palau,0.0008246289169873557,0.010752688172043012,0.6763904039112802,0.16666666666666666,2021-08-22,False
8,Benin,0.0005497526113249038,0.007168458781362007,0.8260333418388218,0.6666666666666666,2020-03-16,False
9,Burkina Faso,0.0008246289169873557,0.010752688172043012,0.33849960041049665,0.12903225806451613,2020-03-10,False
10,Ghana,0.0016492578339747114,0.021505376344086023,0.18831578794135495,0.125,2020-03-14,False
11,Cote d'Ivoire,0.0010995052226498076,0.014336917562724014,0.42273047414900533,0.4854014598540146,2020-03-11,False
12,Nigeria,0.004123144584936778,0.053763440860215055,0.9783309004707462,0.6296296296296297,2020-02-28,False
13,Niger,0.0005497526113249038,0.007168458781362007,0.4661418575072015,0.2,2020-03-20,False
14,Togo,0.0002748763056624519,0.0035842293906810036,0.07124466098957782,0.30038022813688214,2020-03-06,False
15,Estonia,0.004672897196261683,0.06093189964157706,0.08572222239002536,0.75,2020-02-27,False
16,Guernsey,0.0035733919736118747,0.04659498207885305,0.8237220964488655,0.6262295081967213,2020-03-22,False
17,Jersey,0.006871907641561297,0.08960573476702509,0.029315891415610307,0.10526315789473684,2020-03-22,False
18,Isle of Man,0.002473886750962067,0.03225806451612903,0.6126120207222086,0.21428571428571427,2020-03-20,False
19,Brazil,0.007146783947223749,0.0931899641577061,0.8496480796981293,0.2222222222222222,2020-02-26,True
20,Netherlands,0.047553600879604176,0.6200716845878136,0.27629980201621607,0.2,2020-02-27,False
