,Country,CumulativeProbability,InDegreeDivMax,RandomProbability,InfectedShare,first_occurrence,isInfected
0,Solomon Islands,0.10714285714285714,0.6,0.3747308735816569,0.17647058823529413,2020-10-12,False
1,Tonga,0.14285714285714285,0.8,0.0779464691951145,1.0,2021-10-29,False
2,Nauru,0.03571428571428571,0.2,0.5374833086282634,0.3333333333333333,2022-04-04,False
3,Kiribati,0.07142857142857142,0.4,0.8543691051929839,0.1724137931034483,2021-05-18,False
4,Palau,0.10714285714285714,0.6,0.36547534980549956,0.5,2021-08-22,False
5,Samoa,0.14285714285714285,0.8,0.7283390686009358,0.75,2020-11-18,False
6,North Korea,0.14285714285714285,0.8,0.9551689800560695,1.0,2022-05-14,False
7,Tuvalu,0.03571428571428571,0.2,0.8774479829391147,1.0,2022-05-23,False
8,Vanuatu,0.17857142857142855,1.0,0.7547424995079466,1.0,2020-11-10,False
9,Lesotho,0.03571428571428571,0.2,0.09909744492814221,1.0,2020-05-13,True
