,Country,CumulativeProbability,InDegreeDivMax,RandomProbability,InfectedShare,first_occurrence,isInfected
0,Tonga,0.2222222222222222,1.0,0.22710413267500051,1.0,2021-10-29,False
1,Nauru,0.1111111111111111,0.5,0.14298550416945688,0.75,2022-04-04,False
2,Kiribati,0.16666666666666666,0.75,0.4557049959058296,0.6666666666666666,2021-05-18,True
3,Tuvalu,0.05555555555555555,0.25,0.21323143850854476,1.0,2022-05-23,False
4,Palau,0.2222222222222222,1.0,0.21621447920650438,1.0,2021-08-22,False
5,North Korea,0.2222222222222222,1.0,0.6106252849192298,1.0,2022-05-14,False
