,Country,CumulativeProbability,InDegreeDivMax,RandomProbability,first_occurrence,isInfected
0,Vietnam,0.13872832369942195,1.3846153846153846,0.9427153054107713,2020-01-23,False
1,Singapore,0.1348747591522158,1.3461538461538463,0.23298546562681421,2020-01-23,False
2,Canada,0.05394990366088632,0.5384615384615384,0.18624596641785984,2020-01-23,False
3,France,0.06520533673880897,0.6961538461538461,0.5294880580691074,2020-01-24,False
4,Nepal,0.038019152716498146,0.39779560966611327,0.311052082989446,2020-01-25,False
5,Malaysia,0.2517975145216179,2.6471776425013838,0.9389520917779972,2020-01-25,False
6,Australia,0.19915468656450994,2.103813213165731,0.03366278105645215,2020-01-26,False
7,Bahrain,0.009273648800464102,0.0980881229082668,0.17926367300627422,2020-02-24,False
8,Iceland,0.010840168506515872,0.11925316889345666,0.2225867970215364,2020-02-28,False
9,Djibouti,0.0019832979405824563,0.021479958890030834,0.4502004710570183,2020-03-18,False
10,Saudi Arabia,0.04007360972260795,0.4300814293620049,0.7802904462107062,2020-03-02,False
11,Guinea,0.0019832979405824563,0.021479958890030834,0.5696288223680596,2020-03-13,False
12,Jordan,0.01271043511313958,0.1362347484649643,0.23842157106610407,2020-03-03,False
13,Kuwait,0.008598884967805531,0.09089387830395025,0.36977755265149903,2020-02-24,False
14,Lebanon,0.0019832979405824563,0.021479958890030834,0.25934991975272614,2020-02-21,False
15,Oman,0.011890717016311874,0.12665955147969538,0.27634122000326455,2020-02-24,False
16,Pakistan,0.06325319641017677,0.674191635702427,0.7544460536705974,2020-02-25,False
17,Guyana,0.0034367863126754795,0.0381466255566975,0.9897649025232805,2020-03-12,False
18,Palau,0.01458070171976329,0.15321632803647192,0.5777156997248916,2021-08-22,False
19,Iran,0.03974358634791457,0.41880649326692493,0.7884764101820668,2020-02-19,False
20,Benin,0.0019832979405824563,0.021479958890030834,0.867694771296078,2020-03-16,False
21,Burkina Faso,0.0019832979405824563,0.021479958890030834,0.1093032748593945,2020-03-10,False
22,Cote d'Ivoire,0.003966595881164913,0.04295991778006167,0.9922762726950317,2020-03-11,False
23,Nigeria,0.003966595881164913,0.04295991778006167,0.1246769905672257,2020-02-28,False
