,Country,CumulativeProbability,InDegreeDivMax,RandomProbability,InfectedShare,first_occurrence,isInfected
0,Comoros,0.028985507246376812,0.07547169811320754,0.8262370340512393,1.0,2020-04-30,False
1,South Sudan,0.057971014492753624,0.1509433962264151,0.20534886932425722,0.7166666666666667,2020-04-05,True
2,Tajikistan,0.38405797101449274,1.0,0.9762667042338461,1.0,2020-05-01,False
3,Tonga,0.028985507246376812,0.07547169811320754,0.17649907628145933,0.1724137931034483,2021-10-29,False
4,Samoa,0.028985507246376812,0.07547169811320754,0.6918012573921042,1.0,2020-11-18,False
5,North Korea,0.028985507246376812,0.07547169811320754,0.004247254257226274,1.0,2022-05-14,False
6,Yemen,0.3115942028985507,0.8113207547169812,0.1134023747701769,0.5,2020-04-10,False
7,Kiribati,0.014492753623188406,0.03773584905660377,0.03010944408223004,1.0,2021-05-18,False
8,Vanuatu,0.036231884057971016,0.09433962264150943,0.1774134532694951,1.0,2020-11-10,False
9,Sao Tome and Principe,0.014492753623188406,0.03773584905660377,0.3904101396274212,1.0,2020-04-06,False
10,Palau,0.021739130434782608,0.05660377358490566,0.05543144833667679,0.75,2021-08-22,False
11,Solomon Islands,0.021739130434782608,0.05660377358490566,0.6758476816444793,0.17647058823529413,2020-10-12,False
12,Nauru,0.007246376811594203,0.018867924528301886,0.3065082582912746,0.3333333333333333,2022-04-04,False
13,Tuvalu,0.007246376811594203,0.018867924528301886,0.26629653397956776,1.0,2022-05-23,False
14,Lesotho,0.007246376811594203,0.018867924528301886,0.7764709322092244,1.0,2020-05-13,False
