Province/State,Country/Region,Lat,Long,first_occurrence
Wallis and Futuna,France,-14.2938,-178.1165,10/19/20
,France,46.2276,2.2137,1/24/20
,Gabon,-0.8037,11.6094,3/14/20
,Gambia,13.4432,-15.3101,3/17/20
,Georgia,42.3154,43.3569,2/26/20
,Germany,51.165691,10.451526,1/27/20
,Ghana,7.9465,-1.0232,3/14/20
,Greece,39.0742,21.8243,2/26/20
,Grenada,12.1165,-61.679,3/22/20
,Guatemala,15.7835,-90.2308,3/14/20
,Guinea,9.9456,-9.6966,3/13/20
,Guinea-Bissau,11.8037,-15.1804,3/25/20
,Guyana,4.860416,-58.93018,3/12/20
,Haiti,18.9712,-72.2852,3/20/20
,Holy See,41.9029,12.4534,3/6/20
,Honduras,15.2,-86.2419,3/11/20
,Hungary,47.1625,19.5033,3/4/20
,Iceland,64.9631,-19.0208,2/28/20
,India,20.593684,78.96288,1/30/20
,Indonesia,-0.7893,113.9213,3/2/20
,Iran,32.427908,53.688046,2/19/20
,Iraq,33.223191,43.679291,2/24/20
,Ireland,53.1424,-7.6921,2/29/20
,Israel,31.046051,34.851612,2/21/20
,Italy,41.87194,12.56738,1/31/20
,Jamaica,18.1096,-77.2975,3/11/20
,Japan,36.204824,138.252924,1/22/20
,Jordan,31.24,36.51,3/3/20
,Kazakhstan,48.0196,66.9237,3/13/20
,Kenya,-0.0236,37.9062,3/13/20
,Kiribati,-3.3704,-168.734,5/18/21
,"Korea, North",40.3399,127.5101,5/14/22
,"Korea, South",35.907757,127.766922,1/22/20
,Kosovo,42.602636,20.902977,3/14/20
,Kuwait,29.31166,47.481766,2/24/20
,Kyrgyzstan,41.20438,74.766098,3/18/20
,Laos,19.85627,102.495496,3/24/20
,Latvia,56.8796,24.6032,3/2/20
,Lebanon,33.8547,35.8623,2/21/20
,Lesotho,-29.61,28.2336,5/13/20
,Liberia,6.428055,-9.429499,3/17/20
,Libya,26.3351,17.228331,3/24/20
,Liechtenstein,47.14,9.55,3/4/20
,Lithuania,55.1694,23.8813,3/19/20
,Luxembourg,49.8153,6.1296,2/29/20
,MS Zaandam,0.0,0.0,3/28/20
,Madagascar,-18.766947,46.869107,3/20/20
,Malawi,-13.2543,34.3015,4/2/20
,Malaysia,4.210484,101.975766,1/25/20
,Maldives,3.2028,73.2207,3/8/20
,Mali,17.570692,-3.996166,3/25/20
,Malta,35.9375,14.3754,3/7/20
,Marshall Islands,7.1315,171.1845,10/28/20
,Mauritania,21.0079,-10.9408,3/14/20
,Mauritius,-20.348404,57.552152,3/18/20
,Mexico,23.6345,-102.5528,2/28/20
,Micronesia,7.4256,150.5508,1/21/21
,Moldova,47.4116,28.3699,3/8/20
,Monaco,43.7333,7.4167,2/29/20
,Mongolia,46.8625,103.8467,3/10/20
,Montenegro,42.708678,19.37439,3/17/20
,Morocco,31.7917,-7.0926,3/2/20
,Mozambique,-18.665695,35.529562,3/22/20
,Namibia,-22.9576,18.4904,3/14/20
,Nauru,-0.5228,166.9315,4/4/22
,Nepal,28.1667,84.25,1/25/20
Aruba,Netherlands,12.5211,-69.9683,3/13/20
"Bonaire, Sint Eustatius and Saba",Netherlands,12.1784,-68.2385,4/2/20
Curacao,Netherlands,12.1696,-68.99,3/14/20
Sint Maarten,Netherlands,18.0425,-63.0548,3/20/20
,Netherlands,52.1326,5.2913,2/27/20
Cook Islands,New Zealand,-21.2367,-159.7777,5/21/21
Niue,New Zealand,-19.0544,-169.8672,3/10/22
,New Zealand,-40.9006,174.886,2/28/20
,Nicaragua,12.865416,-85.207229,3/19/20
,Niger,17.607789,8.081666,3/20/20
,Nigeria,9.082,8.6753,2/28/20
,North Macedonia,41.6086,21.7453,2/26/20
,Norway,60.472,8.4689,2/26/20
,Oman,21.512583,55.923255,2/24/20
,Pakistan,30.3753,69.3451,2/25/20
,Palau,7.515,134.5825,8/22/21
,Panama,8.538,-80.7821,3/10/20
,Papua New Guinea,-6.314993,143.95555,3/20/20
,Paraguay,-23.4425,-58.4438,3/8/20
,Peru,-9.19,-75.0152,3/6/20
,Philippines,12.879721,121.774017,1/30/20
,Poland,51.9194,19.1451,3/4/20
,Portugal,39.3999,-8.2245,3/2/20
,Qatar,25.3548,51.1839,2/29/20
,Romania,45.9432,24.9668,2/26/20
,Russia,61.52401,105.318756,1/31/20
,Rwanda,-1.9403,29.8739,3/14/20
,Saint Kitts and Nevis,17.357822,-62.782998,3/25/20
,Saint Lucia,13.9094,-60.9789,3/14/20
,Saint Vincent and the Grenadines,12.9843,-61.2872,3/14/20
,Samoa,-13.759,-172.1046,11/18/20
,San Marino,43.9424,12.4578,2/29/20
,Sao Tome and Principe,0.1864,6.6131,4/6/20
,Saudi Arabia,23.885942,45.079162,3/2/20
,Senegal,14.4974,-14.4524,3/2/20
,Serbia,44.0165,21.0059,3/6/20
,Seychelles,-4.6796,55.492,3/15/20
,Sierra Leone,8.460555,-11.779889,3/31/20
,Singapore,1.2833,103.8333,1/23/20
,Slovakia,48.669,19.699,3/6/20
,Slovenia,46.1512,14.9955,3/5/20
,Solomon Islands,-9.6457,160.1562,10/12/20
,Somalia,5.152149,46.199616,3/16/20
,South Africa,-30.5595,22.9375,3/5/20
,South Sudan,6.877,31.307,4/5/20
,Spain,40.463667,-3.74922,2/1/20
,Sri Lanka,7.873054,80.771797,1/27/20
,Sudan,12.8628,30.2176,3/14/20
,Summer Olympics 2020,35.6491,139.7737,6/19/21
,Suriname,3.9193,-56.0278,3/14/20
,Sweden,60.128161,18.643501,2/1/20
,Switzerland,46.8182,8.2275,2/25/20
,Syria,34.802075,38.996815,3/22/20
,Taiwan*,23.7,121.0,1/22/20
,Tajikistan,38.861,71.2761,5/1/20
,Tanzania,-6.369028,34.888822,3/16/20
,Thailand,15.870032,100.992541,1/22/20
,Timor-Leste,-8.874217,125.727539,3/22/20
,Togo,8.6195,0.8248,3/6/20
,Tonga,-21.179,-175.1982,10/29/21
