Province/State,Country/Region,Lat,Long,first_occurrence
,Senegal,14.4974,-14.4524,2020-03-02 00:00:00
,Portugal,39.3999,-8.2245,2020-03-02 00:00:00
,Morocco,31.7917,-7.0926,2020-03-02 00:00:00
,Indonesia,-0.7893,113.9213,2020-03-02 00:00:00
,Latvia,56.8796,24.6032,2020-03-02 00:00:00
Tasmania,Australia,-42.8821,147.3272,2020-03-02 00:00:00
,Andorra,42.5063,1.5218,2020-03-02 00:00:00
,Ukraine,48.3794,31.1656,2020-03-03 00:00:00
,Jordan,31.24,36.51,2020-03-03 00:00:00
,Argentina,-38.4161,-63.6167,2020-03-03 00:00:00
Saint Barthelemy,France,17.9,-62.8333,2020-03-04 00:00:00
,Tunisia,33.886917,9.537499,2020-03-04 00:00:00
Faroe Islands,Denmark,61.8926,-6.9118,2020-03-04 00:00:00
Gibraltar,United Kingdom,36.1408,-5.3536,2020-03-04 00:00:00
,Poland,51.9194,19.1451,2020-03-04 00:00:00
,Liechtenstein,47.14,9.55,2020-03-04 00:00:00
Northern Territory,Australia,-12.4634,130.8456,2020-03-04 00:00:00
,Hungary,47.1625,19.5033,2020-03-04 00:00:00
,West Bank and Gaza,31.9522,35.2332,2020-03-05 00:00:00
,Slovenia,46.1512,14.9955,2020-03-05 00:00:00
,South Africa,-30.5595,22.9375,2020-03-05 00:00:00
,Bosnia and Herzegovina,43.9159,17.6791,2020-03-05 00:00:00
,Slovakia,48.669,19.699,2020-03-06 00:00:00
,Bhutan,27.5142,90.4336,2020-03-06 00:00:00
,Colombia,4.5709,-74.2973,2020-03-06 00:00:00
,Peru,-9.19,-75.0152,2020-03-06 00:00:00
Alberta,Canada,53.9333,-116.5765,2020-03-06 00:00:00
,Serbia,44.0165,21.0059,2020-03-06 00:00:00
,Cameroon,3.848,11.5021,2020-03-06 00:00:00
,Togo,8.6195,0.8248,2020-03-06 00:00:00
,Costa Rica,9.7489,-83.7534,2020-03-06 00:00:00
,Holy See,41.9029,12.4534,2020-03-06 00:00:00
Martinique,France,14.6415,-61.0242,2020-03-07 00:00:00
,Malta,35.9375,14.3754,2020-03-07 00:00:00
French Guiana,France,3.9339,-53.1258,2020-03-07 00:00:00
,Bangladesh,23.685,90.3563,2020-03-08 00:00:00
,Bulgaria,42.7339,25.4858,2020-03-08 00:00:00
,Maldives,3.2028,73.2207,2020-03-08 00:00:00
,Paraguay,-23.4425,-58.4438,2020-03-08 00:00:00
,Moldova,47.4116,28.3699,2020-03-08 00:00:00
,Brunei,4.5353,114.7277,2020-03-09 00:00:00
St Martin,France,18.0708,-63.0501,2020-03-09 00:00:00
,Albania,41.1533,20.1683,2020-03-09 00:00:00
,Panama,8.538,-80.7821,2020-03-10 00:00:00
,Mongolia,46.8625,103.8467,2020-03-10 00:00:00
,Cyprus,35.1264,33.4299,2020-03-10 00:00:00
,Burkina Faso,12.2383,-1.5616,2020-03-10 00:00:00
New Brunswick,Canada,46.5653,-66.4619,2020-03-11 00:00:00
,Jamaica,18.1096,-77.2975,2020-03-11 00:00:00
,Congo (Kinshasa),-4.0383,21.7587,2020-03-11 00:00:00
,Cote d'Ivoire,7.54,-5.5471,2020-03-11 00:00:00
,Bolivia,-16.2902,-63.5887,2020-03-11 00:00:00
,Honduras,15.2,-86.2419,2020-03-11 00:00:00
,Turkey,38.9637,35.2433,2020-03-11 00:00:00
Reunion,France,-21.1151,55.5364,2020-03-11 00:00:00
,Guyana,4.860416,-58.93018,2020-03-12 00:00:00
,Cuba,21.521757,-77.781167,2020-03-12 00:00:00
,Antigua and Barbuda,17.0608,-61.7964,2020-03-13 00:00:00
Saskatchewan,Canada,52.9399,-106.4509,2020-03-13 00:00:00
Cayman Islands,United Kingdom,19.3133,-81.2546,2020-03-13 00:00:00
Guadeloupe,France,16.265,-61.551,2020-03-13 00:00:00
French Polynesia,France,-17.6797,149.4068,2020-03-13 00:00:00
Manitoba,Canada,53.7609,-98.8139,2020-03-13 00:00:00
Grand Princess,Canada,0.0,0.0,2020-03-13 00:00:00
,Kenya,-0.0236,37.9062,2020-03-13 00:00:00
,Ethiopia,9.145,40.4897,2020-03-13 00:00:00
Aruba,Netherlands,12.5211,-69.9683,2020-03-13 00:00:00
,Guinea,9.9456,-9.6966,2020-03-13 00:00:00
,Uruguay,-32.5228,-55.7658,2020-03-13 00:00:00
,Kazakhstan,48.0196,66.9237,2020-03-13 00:00:00
Australian Capital Territory,Australia,-35.4735,149.0124,2020-03-13 00:00:00
,Saint Lucia,13.9094,-60.9789,2020-03-14 00:00:00
Curacao,Netherlands,12.1696,-68.99,2020-03-14 00:00:00
,Mauritania,21.0079,-10.9408,2020-03-14 00:00:00
,Saint Vincent and the Grenadines,12.9843,-61.2872,2020-03-14 00:00:00
,Namibia,-22.9576,18.4904,2020-03-14 00:00:00
,Rwanda,-1.9403,29.8739,2020-03-14 00:00:00
,Trinidad and Tobago,10.6918,-61.2225,2020-03-14 00:00:00
,Suriname,3.9193,-56.0278,2020-03-14 00:00:00
,Kosovo,42.602636,20.902977,2020-03-14 00:00:00
,Eswatini,-26.5225,31.4659,2020-03-14 00:00:00
,Sudan,12.8628,30.2176,2020-03-14 00:00:00
,Gabon,-0.8037,11.6094,2020-03-14 00:00:00
,Ghana,7.9465,-1.0232,2020-03-14 00:00:00
,Venezuela,6.4238,-66.5897,2020-03-14 00:00:00
,Guatemala,15.7835,-90.2308,2020-03-14 00:00:00
Prince Edward Island,Canada,46.5107,-63.4168,2020-03-15 00:00:00
Newfoundland and Labrador,Canada,53.1355,-57.6604,2020-03-15 00:00:00
,Congo (Brazzaville),-0.228,15.8277,2020-03-15 00:00:00
,Uzbekistan,41.377491,64.585262,2020-03-15 00:00:00
,Equatorial Guinea,1.6508,10.2679,2020-03-15 00:00:00
Mayotte,France,-12.8275,45.166244,2020-03-15 00:00:00
,Central African Republic,6.6111,20.9394,2020-03-15 00:00:00
,Seychelles,-4.6796,55.492,2020-03-15 00:00:00
,Somalia,5.152149,46.199616,2020-03-16 00:00:00
,Benin,9.3077,2.3158,2020-03-16 00:00:00
Nova Scotia,Canada,44.682,-63.7443,2020-03-16 00:00:00
,Bahamas,25.025885,-78.035889,2020-03-16 00:00:00
,Tanzania,-6.369028,34.888822,2020-03-16 00:00:00
Greenland,Denmark,71.7069,-42.6043,2020-03-16 00:00:00
,Gambia,13.4432,-15.3101,2020-03-17 00:00:00
,Barbados,13.1939,-59.5432,2020-03-17 00:00:00
,Montenegro,42.708678,19.37439,2020-03-17 00:00:00
,Liberia,6.428055,-9.429499,2020-03-17 00:00:00
,Mauritius,-20.348404,57.552152,2020-03-18 00:00:00
Montserrat,United Kingdom,16.742498,-62.187366,2020-03-18 00:00:00
"Saint Helena, Ascension and Tristan da Cunha",United Kingdom,-7.9467,-14.3559,2020-03-18 00:00:00
,Zambia,-13.133897,27.849332,2020-03-18 00:00:00
,Djibouti,11.8251,42.5903,2020-03-18 00:00:00
,Kyrgyzstan,41.20438,74.766098,2020-03-18 00:00:00
,El Salvador,13.7942,-88.8965,2020-03-19 00:00:00
,Fiji,-17.7134,178.065,2020-03-19 00:00:00
,Nicaragua,12.865416,-85.207229,2020-03-19 00:00:00
New Caledonia,France,-20.904305,165.618042,2020-03-19 00:00:00
,Chad,15.4542,18.7322,2020-03-19 00:00:00
,Lithuania,55.1694,23.8813,2020-03-19 00:00:00
Bermuda,United Kingdom,32.3078,-64.7505,2020-03-19 00:00:00
Isle of Man,United Kingdom,54.2361,-4.5481,2020-03-20 00:00:00
,Haiti,18.9712,-72.2852,2020-03-20 00:00:00
,Papua New Guinea,-6.314993,143.95555,2020-03-20 00:00:00
,Angola,-11.2027,17.8739,2020-03-20 00:00:00
,Cabo Verde,16.5388,-23.0418,2020-03-20 00:00:00
,Madagascar,-18.766947,46.869107,2020-03-20 00:00:00
Sint Maarten,Netherlands,18.0425,-63.0548,2020-03-20 00:00:00
,Zimbabwe,-19.015438,29.154857,2020-03-20 00:00:00
,Niger,17.607789,8.081666,2020-03-20 00:00:00
,Eritrea,15.1794,39.7823,2020-03-21 00:00:00
,Uganda,1.373333,32.290275,2020-03-21 00:00:00
Jersey,United Kingdom,49.2138,-2.1358,2020-03-22 00:00:00
Northwest Territories,Canada,64.8255,-124.8457,2020-03-22 00:00:00
Guernsey,United Kingdom,49.448196,-2.58949,2020-03-22 00:00:00
,Dominica,15.415,-61.371,2020-03-22 00:00:00
,Grenada,12.1165,-61.679,2020-03-22 00:00:00
,Syria,34.802075,38.996815,2020-03-22 00:00:00
,Timor-Leste,-8.874217,125.727539,2020-03-22 00:00:00
,Mozambique,-18.665695,35.529562,2020-03-22 00:00:00
,Belize,17.1899,-88.4976,2020-03-23 00:00:00
,Libya,26.3351,17.228331,2020-03-24 00:00:00
,Laos,19.85627,102.495496,2020-03-24 00:00:00
,Mali,17.570692,-3.996166,2020-03-25 00:00:00
,Saint Kitts and Nevis,17.357822,-62.782998,2020-03-25 00:00:00
,Guinea-Bissau,11.8037,-15.1804,2020-03-25 00:00:00
Yukon,Canada,64.2823,-135.0,2020-03-26 00:00:00
,Burma,21.9162,95.956,2020-03-27 00:00:00
Turks and Caicos Islands,United Kingdom,21.694,-71.7979,2020-03-28 00:00:00
